id,round,metaphor,elaboration,pullback_score,clip_score,image_path
125,1,The canvas sails of a galleon ship are a swarm of vibrant butterflies.,"A majestic galleon glides across a sunlit sea, its billowing sails transformed into a vast swarm of vividly coloured butterflies — oranges, blues, and yellows — each wing catching the wind in unison. The butterflies collectively form the sail's shape, their coordinated flight propelling the ship forward, while individual insects remain clearly recognisable, wings spread wide against the bright sky.",3.512,0.36667951941490173,visual_reasoning/experiment_1/ablations/gepa_pullback/images/125.png
133,1,The burger is a flame of flavour,"A chef proudly presents a towering, golden-brown burger on a wooden counter. Vivid flames rise visibly from a nearby open grill behind him, casting warm amber light. A diner leans forward, eyes wide with delight, as the burger's rich aromas visually swirl outward like heat waves, mirroring the dancing flames — both igniting unmistakable sensory excitement and pleasure.",0.0,0.2634430527687073,visual_reasoning/experiment_1/ablations/gepa_pullback/images/133.png
153,1,My love is a summer day.,"A warmly lit park scene: a couple sits together on a sunny summer day, bathed in golden sunlight with blue skies and blooming flowers around them. Radiating from their chests, a soft glowing warmth visually merges with the sunshine itself. The bright, enveloping daylight actively illuminates and nourishes the couple, mirroring how love sustains and uplifts them.",2.047,0.2174651175737381,visual_reasoning/experiment_1/ablations/gepa_pullback/images/153.png
162,1,Anger is a demon that preys on the soul.,"A shadowy, horned demon crouches on the chest of a person slumped in a dimly lit room, clawing at a glowing soul-light emanating from within them. The person's face contorts with rage, fists clenched, while the demon feeds on the golden light, visibly draining it. The soul-light dims wherever the demon grips, illustrating anger consuming inner wellbeing.",1.394,0.2682630717754364,visual_reasoning/experiment_1/ablations/gepa_pullback/images/162.png
164,1,Autumn is a depression,"A solitary figure sits hunched on a park bench, head bowed, surrounded by fallen autumn leaves drifting downward in muted oranges and browns. The bare, skeletal trees overhead mirror the figure's hollowness. A heavy grey sky presses down visually, while the empty, colourless landscape strips away vitality — the seasonal decay and the person's withdrawn posture echoing each other in a single melancholic scene.",1.915,0.26671725511550903,visual_reasoning/experiment_1/ablations/gepa_pullback/images/164.png
176,1,"Her hair is a rippling, tossing sea","A woman stands at the edge of a coastal cliff, her long flowing hair billowing and curling dramatically in the wind, its waves and ripples mirroring the turbulent ocean stretching behind her. Tiny sailboats visibly navigate both the churning sea below and the cascading locks of her hair, visually equating the two as one continuous, tossing expanse of wave and motion.",2.405,0.2868470549583435,visual_reasoning/experiment_1/ablations/gepa_pullback/images/176.png
177,1,Her hair is like the curling mist,"A woman stands at the edge of a misty lake at dawn, her long, flowing hair loose and curling softly around her shoulders. Beside her, visible wisps of morning mist rise from the water, curling and drifting in identical sinuous shapes. The composition places her hair and the mist side by side, their shared flowing, curling forms unmistakably mirroring each other in texture, movement, and gentle softness.",0.423,0.2603627145290375,visual_reasoning/experiment_1/ablations/gepa_pullback/images/177.png
198,1,My soul is a bird with broken wings.,"A translucent, glowing human figure sits hunched on a stone floor, their chest open to reveal a small bird with visibly broken, bandaged wings resting inside. The bird strains to lift off but cannot rise, feathers dishevelled, feet gripping the ribcage ledge. Dim, grey light filters from a narrow window above, the sky and open air just barely out of reach.",5.308,0.2557544410228729,visual_reasoning/experiment_1/ablations/gepa_pullback/images/198.png
230,1,The professor was a guiding light for him.,"A dimly lit library at night: an elderly professor stands holding a glowing lantern, its warm light casting a clear path forward through shadowy, towering bookshelves. A young student follows along that illuminated path, looking ahead with growing confidence. The professor gestures forward encouragingly, the lantern's beam visibly revealing the route through the darkness ahead.",2.185,0.23673221468925476,visual_reasoning/experiment_1/ablations/gepa_pullback/images/230.png
249,1,He wanted to set sail on the ocean of love but instead wasted away in the desert.,"A lone man stands at the edge of a vast, cracked desert, gazing longingly toward a shimmering ocean horizon just out of reach. A sailboat floats on the water, its sails billowing with warmth and golden light, representing romantic love. The man, visibly withered and parched, clutches an unwritten love letter, his outstretched hand unable to bridge the distance between barren isolation and vibrant connection.",4.437,0.25547993183135986,visual_reasoning/experiment_1/ablations/gepa_pullback/images/249.png
