id,gold_1,gold_2,extracted_target,extracted_source,status,cos_high,cos_low,cos_mean,both_match,either_match,cos_target,cos_source
018,Christmas tree,Pencil,creativity,pencil shavings,ok,0.7051,0.2299,0.4675,False,True,0.2299,0.7051
019,Maze,Cigarette/smoking,smoking addiction,spiral descent,ok,0.6632,0.2937,0.4784,False,True,0.6632,0.2937
020,Money waste,Cigarette/smoking,money waste,cigarette,ok,1.0,0.7443,0.8721,True,True,1.0,0.7443
021,Car,Circus,driving danger,death,ok,0.4147,0.2436,0.3291,False,False,0.4147,0.2436
022,Highlighter,Road marking,navigation,highlighter marker,ok,0.7836,0.3087,0.5462,False,True,0.3087,0.7836
023,Car Key,City,urban access and control,key,ok,0.6582,0.4781,0.5681,True,True,0.4781,0.6582
024,Wallet,City,financial opportunity,hand offering possibilities,ok,0.3364,0.0643,0.2004,False,False,0.3364,0.0643
025,Clock,Working man,career trajectory,line graph,ok,0.2607,0.1676,0.2142,False,False,0.2607,0.1676
026,Coffee,Light Switch,wakefulness,power switch,ok,0.7745,0.4178,0.5962,False,True,0.4178,0.7745
027,Toothpaste,Spotlight,tooth whitening,illumination,ok,0.6115,0.5199,0.5657,True,True,0.6115,0.5199
028,Corpse,Zebra crossing,pedestrian mortality,zebra crossing,ok,1.0,0.3254,0.6627,False,True,0.3254,1.0
029,Vegetables,Corpse,fresh produce value,hands offering,ok,0.3685,0.2373,0.3029,False,False,0.3685,0.2373
030,Microscope,Money,commercialization of medicine,scientific manipulation,ok,0.4263,0.2412,0.3338,False,False,0.2412,0.4263
031,Doctor,Moneybox,medical practice,space exploration,ok,0.6237,0.1351,0.3794,False,True,0.6237,0.1351
032,Donuts,Loch Ness Monster,donuts,none,no_metaphor_detected,1.0,0.1095,0.5547,False,True,1.0,0.1095
033,Donuts,Handcuffs,hunger,arrest,ok,0.6369,0.3819,0.5094,False,True,0.3819,0.6369
034,Jaws shark,Doritos,snack food consumption,shark attack,ok,0.6414,0.4047,0.523,False,True,0.4047,0.6414
035,Flower,Dove creme,gentle skincare,flower bud,ok,0.8461,0.5318,0.6889,True,True,0.5318,0.8461
036,Cocktail glass,Broken car parts,drunk driving consequences,death,ok,0.205,0.1915,0.1983,False,False,0.1915,0.205
037,Cotton swab,Music notes,audio fidelity,disintegration,ok,0.1087,0.0828,0.0958,False,False,0.1087,0.0828
038,Egg,Head,overwhelm,drowning,ok,0.2773,0.2168,0.247,False,False,0.2168,0.2773
039,Electronic devices and book,Funeral,digital distraction,desert wasteland,ok,0.4744,0.208,0.3412,False,True,0.4744,0.208
040,Desert and oasis,Facebook,social media addiction,desert mirage,ok,0.6468,0.4563,0.5516,True,True,0.4563,0.6468
041,Cereal,Facebook,ego,feeding,ok,0.3355,0.213,0.2742,False,False,0.213,0.3355
042,Fish,Cigarette,marine food chain,cigarette pollution,ok,0.7065,0.4663,0.5864,True,True,0.4663,0.7065
043,Helmet,Aspirin tablet,vulnerability,cracked eggshell,ok,0.2009,0.1639,0.1824,False,False,0.2009,0.1639
044,Coke can,Fuel,thoughts,fuel,ok,1.0,0.1606,0.5803,False,True,0.1606,1.0
045,Pacman,Teeth and lolly,dental decay,video game,ok,0.4096,0.2568,0.3332,False,False,0.4096,0.2568
046,Painting,Glasses,clarity of vision,eyeglasses,ok,0.8135,0.2245,0.519,False,True,0.2245,0.8135
047,Shark,Pencil,precision drawing tool,shark,ok,1.0,0.4864,0.7432,True,True,0.4864,1.0
048,Hair,Lizard,thought and growth,plant growth,ok,0.2437,0.1676,0.2056,False,False,0.1676,0.2437
049,Heinz Ketchup,Tomato,ketchup,tomatoes,ok,0.901,0.8473,0.8741,True,True,0.901,0.8473
050,Dog,Honda car,cargo space,dog body,ok,0.6209,0.2699,0.4454,False,True,0.2699,0.6209
051,Ice,Missile,global warming threat,whale,ok,0.3281,0.272,0.3001,False,False,0.272,0.3281
052,Ice,Polarbear,life,water,ok,0.5287,0.141,0.3349,False,True,0.141,0.5287
053,Lightbulb,Beer,ideas,light,ok,0.5772,0.2571,0.4171,False,True,0.2571,0.5772
054,Sleep pills,Pillows,sleep,medicine,ok,0.6525,0.3302,0.4913,False,True,0.6525,0.3302
055,Fear,Dragon drawing,imagined fear versus reality,dragon versus scribble,ok,0.6403,0.6308,0.6356,True,True,0.6308,0.6403
056,Iron,Desert,domestic labor,desert wasteland,ok,0.7199,0.3037,0.5118,False,True,0.3037,0.7199
057,Jeep,Horse,jeep vehicle,wild horse,ok,0.9075,0.7583,0.8329,True,True,0.9075,0.7583
058,Ketchup,Bomb,urgent threat,dynamite,ok,0.348,0.3249,0.3365,False,False,0.3249,0.348
059,Ketchup,Chili,spiciness of condiment,incendiary weapon,ok,0.4663,0.2178,0.3421,False,True,0.4663,0.2178
060,Lego,Plane,flight,toy construction,ok,0.7589,0.6188,0.6888,True,True,0.7589,0.6188
061,Life ring,condom,salvation from disease,life preserver,ok,0.4612,0.2379,0.3495,False,True,0.2379,0.4612
062,Teeth,Lightbulbs,teeth whiteness,light bulbs,ok,0.8456,0.5663,0.706,True,True,0.5663,0.8456
063,Wood and axe,Students and teachers,environmental exploitation,logging and deforestation,ok,0.3228,0.2008,0.2618,False,False,0.2008,0.3228
064,Apple,Lollipop,candy lollipop,apple fruit,ok,0.7519,0.6359,0.6939,True,True,0.7519,0.6359
065,Brokkoli,Lungs,organ health,broccoli,ok,0.6645,0.4528,0.5587,True,True,0.4528,0.6645
066,Trash bags,Lungs,wasted life,garbage,ok,0.5338,0.1766,0.3552,False,True,0.1766,0.5338
067,Nelson Mandela,drill,overcoming obstacles,drilling,ok,0.8777,0.2339,0.5558,False,True,0.2339,0.8777
068,Balloons,Vegetables,culinary lightness,hot air balloon,ok,0.7026,0.2981,0.5003,False,True,0.2981,0.7026
069,Coffee cup,Fuel,caffeine consumption,fuel consumption,ok,0.5869,0.3753,0.4811,False,True,0.3753,0.5869
070,Fries,Cigarettes,addiction,container overflow,ok,0.543,0.0645,0.3037,False,True,0.543,0.0645
071,Mcdonalds logo,Eyes,mccafé service activation,waking up,ok,0.2307,0.1846,0.2077,False,False,0.1846,0.2307
072,Burger,Fields,fast food product,agricultural labor,ok,0.4962,0.3151,0.4056,False,True,0.4962,0.3151
073,Human meat,Cow,human exploitation,meat commodification,ok,0.5647,0.2226,0.3937,False,True,0.2226,0.5647
074,Coffee,Medal,everyday routine,athletic achievement,ok,0.4515,0.2948,0.3731,False,True,0.2948,0.4515
075,Surfing,Mindset,mindset,ocean wave,ok,1.0,0.4957,0.7479,True,True,1.0,0.4957
076,Nature,Vodka bottle,vodka purity,pristine wilderness,ok,0.5663,0.5304,0.5484,True,True,0.5663,0.5304
077,Battery,Coffee,energy or stimulation from coffee,batteries,ok,0.7727,0.6144,0.6935,True,True,0.6144,0.7727
078,Mountain,Water bottle,purity,mountain peak,ok,0.8423,0.2386,0.5404,False,True,0.2386,0.8423
079,Cactus,Nivea cream,masculine resilience,cactus,ok,1.0,0.0729,0.5365,False,True,0.0729,1.0
080,Toast,Sunburn,sun damage,burnt bread,ok,0.7621,0.6075,0.6848,True,True,0.7621,0.6075
081,Stuffed nose,Brick wall,nasal congestion,brick wall,ok,1.0,0.6653,0.8327,True,True,0.6653,1.0
082,Sheep,Nyquil,cold symptom relief,sheep on spoon,ok,0.6621,0.4091,0.5356,False,True,0.4091,0.6621
083,Oyster,Beer caps,beer,pearl,ok,0.5801,0.5376,0.5589,True,True,0.5801,0.5376
084,Paint,Spread,culinary creativity,painting,ok,0.8922,0.1191,0.5056,False,True,0.1191,0.8922
085,Zipper,People,human connection,zipper,ok,1.0,0.421,0.7105,False,True,0.421,1.0
086,Blood,Pepsi,vitality,intravenous therapy,ok,0.4315,0.1604,0.296,False,False,0.4315,0.1604
087,Perfume,Flower,perfume,plant growth,ok,1.0,0.3306,0.6653,False,True,1.0,0.3306
088,Phone,Bomb,cyberbullying,explosive device,ok,0.6411,0.2497,0.4454,False,True,0.2497,0.6411
089,Phone,Mousetrap,smartphone technology,mechanical machinery,ok,0.6565,0.1701,0.4133,False,True,0.6565,0.1701
090,Plane,Pizza,pizza delivery,airplane flight,ok,0.742,0.7232,0.7326,True,True,0.7232,0.742
091,Plastic bag,Iceberg,plastic pollution,iceberg,ok,1.0,0.5097,0.7548,True,True,0.5097,1.0
092,Coca cola,Power chord,energy boost,electrical power,ok,0.5504,0.3396,0.445,False,True,0.3396,0.5504
093,Cross,Insect spray,pest control,superhero,ok,0.7366,0.205,0.4708,False,True,0.7366,0.205
094,Phone and book,Rain and umbrella,adversity,rain,ok,0.7414,0.0198,0.3806,False,True,0.0198,0.7414
095,Red Bull,Battery,energy,battery,ok,1.0,0.3533,0.6767,False,True,0.3533,1.0
096,Ring,Tire,safety and reliability,precious jewels,ok,0.3806,0.1682,0.2744,False,False,0.1682,0.3806
097,Scoth Tape,Sky,adhesive strength,structural support,ok,0.2998,0.1043,0.202,False,False,0.2998,0.1043
098,Boots,Tractor,resilience,construction machinery,ok,0.5362,0.3263,0.4312,False,True,0.3263,0.5362
099,Snake,Shoe,objectification of women,predatory consumption,ok,0.2385,0.1172,0.1779,False,False,0.1172,0.2385
100,Social media feed,Hamster feed,multitasking,juggling,ok,0.3046,0.0746,0.1896,False,False,0.3046,0.0746
101,Social media feed,Toilet paper,social media consumption,toilet paper,ok,1.0,0.5903,0.7951,True,True,0.5903,1.0
102,Sock,Tongue,bad breath,catching or trapping,ok,0.3829,0.265,0.324,False,False,0.3829,0.265
103,Spiderman,Insects,spray paint can death,bodily injury,ok,0.251,0.1611,0.206,False,False,0.1611,0.251
104,Shadow,Sunscreen,sun protection,shelter,ok,0.8632,0.2978,0.5805,False,True,0.8632,0.2978
105,Tabasco bottle,Fire extinguisher,spiciness of hot sauce,fire extinguisher,ok,1.0,0.3674,0.6837,False,True,0.3674,1.0
106,Dam,Tampax,menstrual absorption,dam and water containment,ok,0.5384,0.1517,0.345,False,True,0.1517,0.5384
107,Teeth,Dice,tooth decay prevention,gambling,ok,0.5604,0.4056,0.483,False,True,0.5604,0.4056
108,Tic Tac,Strawberry,tic tac candy,strawberry,ok,1.0,0.774,0.887,True,True,0.774,1.0
109,Tool,Dinosaur,unofficial automotive service,predatory threat,ok,0.2778,0.2351,0.2565,False,False,0.2351,0.2778
110,Train,Car,vehicle safety,train on rails,ok,0.7066,0.5862,0.6464,True,True,0.5862,0.7066
111,Trash,Sushi,plastic pollution in humans,sushi,ok,1.0,0.2754,0.6377,False,True,0.2754,1.0
112,Pencil,Dog,creative expression,pencil,ok,1.0,0.2307,0.6153,False,True,0.2307,1.0
113,Uterus,Headphones,bodily awareness,listening to audio,ok,0.4511,0.3256,0.3883,False,True,0.3256,0.4511
114,Cracks in ground,Vaseline,dry skin,construction work,ok,0.3836,0.224,0.3038,False,False,0.3836,0.224
115,Painting,Vaseline,dry skin,cracked earth,ok,0.3836,0.1399,0.2618,False,False,0.3836,0.1399
116,Virus,Factories,environmental pollution,virus,ok,1.0,0.3902,0.6951,False,True,0.3902,1.0
117,Walnut,Brain,stroke treatment,tough nut to crack,ok,0.3076,0.2655,0.2866,False,False,0.2655,0.3076
118,Eye,Horror movie,minor eye illness,horror movie,ok,1.0,0.4866,0.7433,True,True,0.4866,1.0
119,Funerals,Pill container,human existence,compartmentalized storage,ok,0.3853,0.239,0.3122,False,False,0.239,0.3853
120,Tiger,People,success,violence,ok,0.3212,0.2462,0.2837,False,False,0.2462,0.3212
121,Colours,Toast,customization,none,no_metaphor_detected,0.3786,0.2477,0.3131,False,False,0.3786,0.2477
122,Catcus and Balloon,People,social distancing,spatial separation,ok,0.2787,0.1404,0.2096,False,False,0.2787,0.1404
123,Bird,Tree,environmental destruction,felled tree and displaced wildlife,ok,0.4058,0.2145,0.3101,False,False,0.2145,0.4058
124,Animals,Instruments,nature,orchestral music,ok,0.6313,0.5934,0.6123,True,True,0.5934,0.6313
125,Butterflies,Ship sail,transformation,butterflies,ok,1.0,0.1548,0.5774,False,True,0.1548,1.0
