model_slug,k,epsilon,metaphor_id,metaphor_type,selected_round,n_rounds_run,pullback_score,mean_judge_score,extracted_target,extracted_source,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_gemini-3.5-flash,judge_model_claude-opus-4-8,judge_model_llama-4-maverick,metaphor_consistency__gemini-3.5-flash,metaphor_consistency__claude-opus-4-8,metaphor_consistency__llama-4-maverick,analogy_appropriateness__gemini-3.5-flash,analogy_appropriateness__claude-opus-4-8,analogy_appropriateness__llama-4-maverick,conceptual_integration__gemini-3.5-flash,conceptual_integration__claude-opus-4-8,conceptual_integration__llama-4-maverick
openrouter_openai_gpt-5_5,5,0.2,024,Abstract,5,5,4.234,8.500,capital one venture,world travel,8.333,8.500,8.667,8.000,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,5,0.2,040,Abstract,3,3,2.627,8.278,social media validation,desert survival,8.000,8.833,8.000,8.500,7.667,8.667,7.000,8.000,9.000,9.500,8.000,9.000,9.000,7.000,8.000
openrouter_openai_gpt-5_5,5,0.2,042,Concrete,1,1,1.050,8.500,marine pollution,ashtray,8.333,8.667,8.500,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,10,0.05,001,Concrete,1,5,5.106,8.750,vehicle emissions,factory smokestack,8.000,9.250,9.000,8.500,N/A,9.000,7.000,N/A,9.000,9.500,N/A,9.000,9.000,N/A,9.000
openrouter_openai_gpt-5_5,10,0.05,002,Attributal/visual,6,10,2.547,8.500,drunk driving,car crash,8.000,8.833,8.667,8.500,8.000,9.000,7.000,8.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,10,0.05,004,Attributal/visual,8,10,3.711,3.556,air conditioning,sea breeze,3.333,4.333,3.000,3.667,3.667,3.333,4.000,4.000,2.000,5.000,4.000,4.000,2.000,3.000,4.000
openrouter_openai_gpt-5_5,10,0.05,005,Attributal/visual,1,2,0.000,8.222,apple juice,none,8.333,8.333,8.000,8.333,7.333,9.000,7.000,9.000,9.000,8.000,8.000,9.000,10.000,5.000,9.000
openrouter_openai_gpt-5_5,10,0.05,006,Abstract,6,10,4.183,8.722,mcdonald's,base camp,8.333,8.667,9.167,8.500,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.500,9.000,9.000
openrouter_openai_gpt-5_5,10,0.05,022,Abstract,3,10,4.803,4.333,knowledge,book,3.333,5.333,4.333,2.667,3.000,7.333,4.000,2.000,4.000,3.000,4.000,9.000,1.000,3.000,9.000
openrouter_openai_gpt-5_5,10,0.05,023,Abstract,10,10,4.375,8.333,opportunity,open road,8.000,8.667,8.333,8.333,7.667,9.000,7.000,8.000,9.000,9.000,8.000,9.000,9.000,7.000,9.000
openrouter_openai_gpt-5_5,10,0.05,024,Abstract,5,10,4.234,8.500,capital one venture,world travel,8.333,8.500,8.667,8.000,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,10,0.05,040,Abstract,3,3,2.627,8.278,social media validation,desert survival,8.000,8.833,8.000,8.500,7.667,8.667,7.000,8.000,9.000,9.500,8.000,9.000,9.000,7.000,8.000
openrouter_openai_gpt-5_5,10,0.05,042,Concrete,1,1,1.050,8.500,marine pollution,ashtray,8.333,8.667,8.500,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,10,0.1,001,Concrete,1,5,5.106,8.750,vehicle emissions,factory smokestack,8.000,9.250,9.000,8.500,N/A,9.000,7.000,N/A,9.000,9.500,N/A,9.000,9.000,N/A,9.000
openrouter_openai_gpt-5_5,10,0.1,002,Attributal/visual,6,10,2.547,8.500,drunk driving,car crash,8.000,8.833,8.667,8.500,8.000,9.000,7.000,8.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,10,0.1,004,Attributal/visual,8,10,3.711,3.556,air conditioning,sea breeze,3.333,4.333,3.000,3.667,3.667,3.333,4.000,4.000,2.000,5.000,4.000,4.000,2.000,3.000,4.000
openrouter_openai_gpt-5_5,10,0.1,005,Attributal/visual,1,2,0.000,8.222,apple juice,none,8.333,8.333,8.000,8.333,7.333,9.000,7.000,9.000,9.000,8.000,8.000,9.000,10.000,5.000,9.000
openrouter_openai_gpt-5_5,10,0.1,006,Abstract,6,8,4.183,8.722,mcdonald's,base camp,8.333,8.667,9.167,8.500,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.500,9.000,9.000
openrouter_openai_gpt-5_5,10,0.1,022,Abstract,3,10,4.803,4.333,knowledge,book,3.333,5.333,4.333,2.667,3.000,7.333,4.000,2.000,4.000,3.000,4.000,9.000,1.000,3.000,9.000
openrouter_openai_gpt-5_5,10,0.1,023,Abstract,1,2,1.997,8.278,freedom,car,7.667,8.167,9.000,8.833,7.333,8.667,7.000,8.000,8.000,9.500,6.000,9.000,10.000,8.000,9.000
openrouter_openai_gpt-5_5,10,0.1,024,Abstract,5,10,4.234,8.500,capital one venture,world travel,8.333,8.500,8.667,8.000,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,10,0.1,040,Abstract,3,3,2.627,8.278,social media validation,desert survival,8.000,8.833,8.000,8.500,7.667,8.667,7.000,8.000,9.000,9.500,8.000,9.000,9.000,7.000,8.000
openrouter_openai_gpt-5_5,10,0.1,042,Concrete,1,1,1.050,8.500,marine pollution,ashtray,8.333,8.667,8.500,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,10,0.2,001,Concrete,1,5,5.106,8.750,vehicle emissions,factory smokestack,8.000,9.250,9.000,8.500,N/A,9.000,7.000,N/A,9.000,9.500,N/A,9.000,9.000,N/A,9.000
openrouter_openai_gpt-5_5,10,0.2,002,Attributal/visual,6,10,2.547,8.500,drunk driving,car crash,8.000,8.833,8.667,8.500,8.000,9.000,7.000,8.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,10,0.2,004,Attributal/visual,3,3,1.635,8.812,air conditioning,winter,9.000,8.833,8.500,8.250,8.667,9.333,7.000,10.000,10.000,9.500,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,10,0.2,005,Attributal/visual,1,2,0.000,8.222,apple juice,none,8.333,8.333,8.000,8.333,7.333,9.000,7.000,9.000,9.000,8.000,8.000,9.000,10.000,5.000,9.000
openrouter_openai_gpt-5_5,10,0.2,006,Abstract,6,8,4.183,8.722,mcdonald's,base camp,8.333,8.667,9.167,8.500,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.500,9.000,9.000
openrouter_openai_gpt-5_5,10,0.2,022,Abstract,2,2,1.116,4.000,knowledge,library,3.000,4.667,4.333,2.667,2.333,7.000,3.000,2.000,4.000,3.000,3.000,8.000,2.000,2.000,9.000
openrouter_openai_gpt-5_5,10,0.2,023,Abstract,1,2,1.997,8.278,freedom,car,7.667,8.167,9.000,8.833,7.333,8.667,7.000,8.000,8.000,9.500,6.000,9.000,10.000,8.000,9.000
openrouter_openai_gpt-5_5,10,0.2,024,Abstract,5,10,4.234,8.500,capital one venture,world travel,8.333,8.500,8.667,8.000,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,10,0.2,040,Abstract,3,3,2.627,8.278,social media validation,desert survival,8.000,8.833,8.000,8.500,7.667,8.667,7.000,8.000,9.000,9.500,8.000,9.000,9.000,7.000,8.000
openrouter_openai_gpt-5_5,10,0.2,042,Concrete,1,1,1.050,8.500,marine pollution,ashtray,8.333,8.667,8.500,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,15,0.05,001,Concrete,1,5,5.106,8.750,vehicle emissions,factory smokestack,8.000,9.250,9.000,8.500,N/A,9.000,7.000,N/A,9.000,9.500,N/A,9.000,9.000,N/A,9.000
openrouter_openai_gpt-5_5,15,0.05,002,Attributal/visual,6,15,2.547,8.500,drunk driving,car crash,8.000,8.833,8.667,8.500,8.000,9.000,7.000,8.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,15,0.05,004,Attributal/visual,8,15,3.711,3.556,air conditioning,sea breeze,3.333,4.333,3.000,3.667,3.667,3.333,4.000,4.000,2.000,5.000,4.000,4.000,2.000,3.000,4.000
openrouter_openai_gpt-5_5,15,0.05,005,Attributal/visual,1,2,0.000,8.222,apple juice,none,8.333,8.333,8.000,8.333,7.333,9.000,7.000,9.000,9.000,8.000,8.000,9.000,10.000,5.000,9.000
openrouter_openai_gpt-5_5,15,0.05,006,Abstract,6,12,4.183,8.722,mcdonald's,base camp,8.333,8.667,9.167,8.500,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.500,9.000,9.000
openrouter_openai_gpt-5_5,15,0.05,022,Abstract,3,15,4.803,4.333,knowledge,book,3.333,5.333,4.333,2.667,3.000,7.333,4.000,2.000,4.000,3.000,4.000,9.000,1.000,3.000,9.000
openrouter_openai_gpt-5_5,15,0.05,023,Abstract,10,15,4.375,8.333,opportunity,open road,8.000,8.667,8.333,8.333,7.667,9.000,7.000,8.000,9.000,9.000,8.000,9.000,9.000,7.000,9.000
openrouter_openai_gpt-5_5,15,0.05,024,Abstract,5,15,4.234,8.500,capital one venture,world travel,8.333,8.500,8.667,8.000,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,15,0.05,040,Abstract,3,3,2.627,8.278,social media validation,desert survival,8.000,8.833,8.000,8.500,7.667,8.667,7.000,8.000,9.000,9.500,8.000,9.000,9.000,7.000,8.000
openrouter_openai_gpt-5_5,15,0.05,042,Concrete,1,1,1.050,8.500,marine pollution,ashtray,8.333,8.667,8.500,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,15,0.1,001,Concrete,1,5,5.106,8.750,vehicle emissions,factory smokestack,8.000,9.250,9.000,8.500,N/A,9.000,7.000,N/A,9.000,9.500,N/A,9.000,9.000,N/A,9.000
openrouter_openai_gpt-5_5,15,0.1,002,Attributal/visual,6,15,2.547,8.500,drunk driving,car crash,8.000,8.833,8.667,8.500,8.000,9.000,7.000,8.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,15,0.1,004,Attributal/visual,8,15,3.711,3.556,air conditioning,sea breeze,3.333,4.333,3.000,3.667,3.667,3.333,4.000,4.000,2.000,5.000,4.000,4.000,2.000,3.000,4.000
openrouter_openai_gpt-5_5,15,0.1,005,Attributal/visual,1,2,0.000,8.222,apple juice,none,8.333,8.333,8.000,8.333,7.333,9.000,7.000,9.000,9.000,8.000,8.000,9.000,10.000,5.000,9.000
openrouter_openai_gpt-5_5,15,0.1,006,Abstract,6,8,4.183,8.722,mcdonald's,base camp,8.333,8.667,9.167,8.500,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.500,9.000,9.000
openrouter_openai_gpt-5_5,15,0.1,022,Abstract,3,15,4.803,4.333,knowledge,book,3.333,5.333,4.333,2.667,3.000,7.333,4.000,2.000,4.000,3.000,4.000,9.000,1.000,3.000,9.000
openrouter_openai_gpt-5_5,15,0.1,023,Abstract,1,2,1.997,8.278,freedom,car,7.667,8.167,9.000,8.833,7.333,8.667,7.000,8.000,8.000,9.500,6.000,9.000,10.000,8.000,9.000
openrouter_openai_gpt-5_5,15,0.1,024,Abstract,5,14,4.234,8.500,capital one venture,world travel,8.333,8.500,8.667,8.000,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,15,0.1,040,Abstract,3,3,2.627,8.278,social media validation,desert survival,8.000,8.833,8.000,8.500,7.667,8.667,7.000,8.000,9.000,9.500,8.000,9.000,9.000,7.000,8.000
openrouter_openai_gpt-5_5,15,0.1,042,Concrete,1,1,1.050,8.500,marine pollution,ashtray,8.333,8.667,8.500,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,15,0.2,001,Concrete,1,5,5.106,8.750,vehicle emissions,factory smokestack,8.000,9.250,9.000,8.500,N/A,9.000,7.000,N/A,9.000,9.500,N/A,9.000,9.000,N/A,9.000
openrouter_openai_gpt-5_5,15,0.2,002,Attributal/visual,6,15,2.547,8.500,drunk driving,car crash,8.000,8.833,8.667,8.500,8.000,9.000,7.000,8.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,15,0.2,004,Attributal/visual,3,3,1.635,8.812,air conditioning,winter,9.000,8.833,8.500,8.250,8.667,9.333,7.000,10.000,10.000,9.500,8.000,9.000,N/A,8.000,9.000
openrouter_openai_gpt-5_5,15,0.2,005,Attributal/visual,1,2,0.000,8.222,apple juice,none,8.333,8.333,8.000,8.333,7.333,9.000,7.000,9.000,9.000,8.000,8.000,9.000,10.000,5.000,9.000
openrouter_openai_gpt-5_5,15,0.2,006,Abstract,6,8,4.183,8.722,mcdonald's,base camp,8.333,8.667,9.167,8.500,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.500,9.000,9.000
openrouter_openai_gpt-5_5,15,0.2,022,Abstract,2,2,1.116,4.000,knowledge,library,3.000,4.667,4.333,2.667,2.333,7.000,3.000,2.000,4.000,3.000,3.000,8.000,2.000,2.000,9.000
openrouter_openai_gpt-5_5,15,0.2,023,Abstract,1,2,1.997,8.278,freedom,car,7.667,8.167,9.000,8.833,7.333,8.667,7.000,8.000,8.000,9.500,6.000,9.000,10.000,8.000,9.000
openrouter_openai_gpt-5_5,15,0.2,024,Abstract,5,14,4.234,8.500,capital one venture,world travel,8.333,8.500,8.667,8.000,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,9.000,8.000,9.000
openrouter_openai_gpt-5_5,15,0.2,040,Abstract,3,3,2.627,8.278,social media validation,desert survival,8.000,8.833,8.000,8.500,7.667,8.667,7.000,8.000,9.000,9.500,8.000,9.000,9.000,7.000,8.000
openrouter_openai_gpt-5_5,15,0.2,042,Concrete,1,1,1.050,8.500,marine pollution,ashtray,8.333,8.667,8.500,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,001,Concrete,1,5,2.121,8.667,speed,jet engine,7.500,9.000,9.500,8.667,N/A,8.667,7.000,N/A,8.000,9.000,N/A,9.000,10.000,N/A,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,002,Attributal/visual,5,5,2.421,8.333,alcoholism,catastrophe,8.333,8.333,8.333,8.333,8.000,8.667,7.000,9.000,9.000,9.000,7.000,9.000,9.000,8.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,004,Attributal/visual,5,5,1.506,8.778,temperature control,air conditioner,8.667,9.000,8.667,8.667,8.667,9.000,7.000,10.000,9.000,10.000,8.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,005,Attributal/visual,1,2,0.000,7.667,apple juice,none,8.000,7.333,7.667,8.667,5.333,9.000,7.000,8.000,9.000,9.000,4.000,9.000,10.000,4.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,006,Abstract,3,5,6.688,8.944,fast food,ancient temple,8.667,8.833,9.333,8.833,9.000,9.000,7.000,10.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,022,Abstract,1,5,4.891,8.500,knowledge,journey,7.667,8.833,9.000,8.833,8.000,8.667,7.000,8.000,8.000,9.500,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,023,Abstract,2,5,4.685,8.500,digital access,locked gate,8.000,8.500,9.000,8.000,8.667,8.667,7.000,9.000,8.000,N/A,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,024,Abstract,1,2,1.085,8.556,travel,key,8.333,9.000,8.333,8.667,8.000,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,7.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,040,Abstract,1,5,2.714,8.667,longing,digital technology,8.000,9.333,8.667,8.667,9.000,8.333,7.000,9.000,8.000,10.000,9.000,9.000,9.000,9.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,041,Concrete,1,5,3.966,9.125,social media validation,dog behavior,9.000,9.000,9.333,9.500,9.000,9.000,N/A,9.000,9.000,9.000,9.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,042,Concrete,1,3,1.348,8.714,ocean pollution,ashtray,9.000,8.667,8.500,9.000,8.333,9.000,N/A,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,043,Concrete,3,5,2.715,7.722,pain relief,football collision,7.667,8.500,7.000,8.500,6.667,8.000,7.000,8.000,8.000,9.500,8.000,8.000,9.000,4.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,126,Abstract,1,2,3.712,8.812,passion,elemental conflict,8.000,8.833,9.333,8.833,8.667,9.000,7.000,9.000,N/A,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,127,Concrete,1,2,1.619,8.667,relationship stability,stone foundation,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,128,Concrete,5,5,2.414,8.944,imminent crisis,bomb,8.667,8.833,9.333,8.833,9.000,9.000,7.000,10.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,166,Concrete,1,2,0.000,7.444,exhaustion,none,6.667,7.667,8.000,8.667,6.000,7.667,7.000,6.000,7.000,9.000,6.000,8.000,10.000,6.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,167,Concrete,2,5,4.211,8.750,global oppression,prison cage,8.667,9.000,8.500,8.333,9.000,9.000,7.000,10.000,9.000,9.000,9.000,9.000,9.000,8.000,N/A
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,168,Concrete,2,5,2.078,8.611,inner growth,flowers,8.333,8.833,8.667,8.500,8.333,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,182,Abstract,2,4,4.892,8.333,communication,flowers,8.000,8.333,8.667,8.333,8.333,8.333,7.000,9.000,8.000,9.000,8.000,8.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,183,Concrete,5,5,2.116,9.000,emotional healing,jigsaw puzzle,8.667,9.333,9.000,8.667,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,184,Abstract,3,5,3.852,8.714,life cycle,marathon,8.667,9.000,8.500,7.000,9.000,9.000,7.000,10.000,9.000,N/A,9.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,185,Abstract,5,5,1.746,8.667,love,war,8.333,8.667,9.000,8.333,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,196,Concrete,4,5,5.895,7.222,life decision,journey,6.667,7.333,7.667,7.000,6.000,8.667,6.000,6.000,8.000,7.000,6.000,9.000,8.000,6.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,197,Abstract,1,5,2.674,8.222,inner power,glowing light,7.667,8.000,9.000,8.667,7.667,8.333,7.000,8.000,8.000,9.000,7.000,8.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.05,243,Concrete,1,3,2.836,8.722,life direction,compass,8.333,9.167,8.667,8.500,8.667,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,001,Concrete,1,5,2.121,8.667,speed,jet engine,7.500,9.000,9.500,8.667,N/A,8.667,7.000,N/A,8.000,9.000,N/A,9.000,10.000,N/A,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,002,Attributal/visual,2,2,1.361,8.000,alcoholism,shattered bottle,7.333,8.000,8.667,8.000,7.000,9.000,7.000,6.000,9.000,N/A,7.000,9.000,9.000,8.000,9.000
