id,pullback_score,num_matched,coverage,chain_length,target_domain,source_domain
161,2.297,3,0.5,1,emotional turmoil,autumn storm
163,2.679,3,0.5,2,helplessness,deer in headlights
164,0.977,1,0.167,1,loneliness,autumn forest
165,1.449,2,0.333,1,heartbreak,broken object
166,1.888,3,0.429,1,difficulty waking,being buried
167,3.957,4,0.667,3,despair,prison
168,2.776,3,0.5,2,human interconnection,root system
169,4.166,4,0.667,3,justice,scales with wealth
170,3.414,3,0.5,2,facing adversity,crossing chasm
171,2.419,3,0.5,1,life journey,mountain road travel
172,0.0,0,0.0,0,captivity,padlock and chains
173,1.735,2,0.333,1,romantic love,tree
174,3.18,3,0.5,2,resilience through adversity,blizzard
175,3.268,3,0.5,2,mind or thought,overgrowth or wild vegetation
176,1.585,2,0.333,1,freedom,flowing hair
177,1.707,2,0.333,1,transcendence,clouds and sky
178,1.48,2,0.333,1,inner strength,storm
179,2.221,2,0.333,2,powerful communication,electrical energy
180,1.476,2,0.4,1,joy,fire and water
181,2.735,3,0.5,1,emotional disturbance,ripples in water
182,3.204,3,0.5,2,transience,flower petals dispersing
183,3.789,4,0.667,3,self-discovery,jigsaw puzzle
184,0.0,0,0.0,0,trail running,none
185,3.703,4,0.571,1,international peace agreement,mountain peak handshake
186,2.195,2,0.333,1,intimate relationship,narrow passage
187,1.468,2,0.286,1,internal conflict,sword dividing opposing forces
188,1.663,2,0.286,1,heartbreak,decay and loss
189,2.865,3,0.5,3,creativity,markers and crayons
190,1.045,1,0.2,1,creativity,painting
191,2.594,3,0.5,2,passion,fire and electricity
192,0.0,0,0.0,0,abandonment,none
193,5.779,5,0.714,3,corruption removal,dental extraction
194,6.605,6,0.857,4,searching for connection,desert exploration
195,1.477,2,0.333,1,human consciousness,clockwork mechanism
196,0.0,0,0.0,0,river landscape,none
197,2.963,3,0.429,2,resilience,light
198,0.0,0,0.0,0,small crested bird,none
199,2.471,3,0.5,1,despair,isolation in empty landscape
200,0.0,0,0.0,0,friendship,none
201,3.196,3,0.5,2,stardom,radiant light
202,2.772,3,0.5,2,fragility under threat,fire and smoke
204,2.761,3,0.5,2,inner light,glass structure
205,0.0,0,0.0,0,nighttime serenity,none
206,3.981,4,0.667,2,failure and decay,shipwrecks
207,2.597,3,0.429,1,global crisis,drowning planet
208,2.549,3,0.5,2,comfort and warmth,quilted bedding
210,1.924,2,0.286,1,creative power,paintbrush
211,1.837,2,0.286,1,human civilization,theater
212,1.987,2,0.333,2,environmental collapse,predatory bird
213,3.17,3,0.5,2,pressure,traffic
214,1.734,2,0.286,1,mortality,time
215,0.0,0,0.0,0,spring renewal,none
216,2.068,3,0.5,1,death,winter
217,2.17,3,0.429,1,workplace stress,hell
218,1.892,2,0.333,1,identity transformation,painting
219,1.768,2,0.333,1,human intellect,architecture
220,2.571,3,0.429,1,intimate connection,treasure
221,0.0,0,0.0,0,sprinting,none
222,3.578,3,0.5,2,hidden value,gemstone in rock
223,1.112,1,0.167,1,inner turmoil,elemental forces
224,2.499,3,0.5,1,emotional confinement,thorny cage
225,0.0,0,0.0,0,diversity,none
226,0.0,0,0.0,0,recovery,none
227,1.854,2,0.333,1,hope,light in darkness
228,1.69,2,0.333,1,classroom chaos,wild animal invasion
229,1.527,2,0.333,1,human intelligence,digital network
230,1.256,1,0.143,1,wisdom transmission,light
231,1.14,1,0.2,1,unstoppable power,bull in storm
232,1.912,2,0.333,1,commercial travel,wealth
233,1.69,2,0.333,1,rage,electricity
234,1.681,2,0.286,1,societal collapse,funeral
235,1.783,2,0.286,1,neglect of relationships,dying plants
236,2.332,3,0.429,1,secret society,underground gathering
237,1.482,2,0.333,1,human insignificance,vast sky
238,4.323,5,0.833,0,wealth abundance,rainfall
239,1.483,2,0.333,1,hope,lighthouse beam
240,2.239,2,0.333,2,memory,attic
241,2.743,3,0.5,2,love,light
242,2.647,3,0.5,2,bureaucratic overwhelm,drowning
243,2.219,3,0.5,1,spiritual enlightenment,navigation
244,1.494,2,0.4,1,inner light,radiance
245,2.234,3,0.5,1,isolation,desert
247,1.588,2,0.4,1,mortality,stone statue
248,2.746,3,0.429,2,entrapment,spider web
249,2.185,2,0.333,1,blocked ambition,stranded ship
250,1.641,2,0.333,1,mind,map
