id,metaphor,mean_judge_score,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_claude-opus-4-8,judge_model_gpt-5.2,metaphor_consistency__claude-opus-4-8,metaphor_consistency__gpt-5.2,analogy_appropriateness__claude-opus-4-8,analogy_appropriateness__gpt-5.2,conceptual_integration__claude-opus-4-8,conceptual_integration__gpt-5.2
045,A sweet tooth is a predator chasing down your smile.,7.333,6.500,7.000,8.500,6.667,8.000,6.000,7.000,6.000,8.000,8.000,9.000
046,Clear vision is the lens that turns art into reality.,7.500,7.000,7.000,8.500,7.333,7.667,7.000,7.000,7.000,7.000,8.000,9.000
047,Faber-Castell pencils are the true colors of nature.,7.250,7.000,6.500,8.250,6.667,7.833,6.000,8.000,6.000,7.000,8.000,8.500
048,Strong hair gel has the grip of a lizard's feet.,7.000,5.500,7.000,8.500,7.000,7.000,6.000,5.000,7.000,7.000,8.000,9.000
049,Heinz ketchup is a stack of fresh tomatoes in a bottle.,6.667,6.000,6.000,8.000,6.000,7.333,6.000,6.000,5.000,7.000,7.000,9.000
050,The SUV's trunk is a dimensional fold that deletes physical length.,8.250,8.000,8.500,8.250,8.000,8.500,8.000,8.000,8.000,9.000,8.000,8.500
051,Global ice melting is as dangerous as a missile.,6.167,6.000,5.500,7.000,5.333,7.000,5.000,7.000,5.000,6.000,6.000,8.000
052,A polar bear's body is a fracturing iceberg.,8.333,9.000,7.500,8.500,8.667,8.000,9.000,9.000,8.000,7.000,9.000,8.000
053,A glass of beer is a good idea waiting to happen.,7.500,7.500,7.000,8.000,7.333,7.667,7.000,8.000,7.000,7.000,8.000,8.000
054,An ergonomic pillow is a sleep supplement.,4.833,3.500,4.000,7.000,4.667,5.000,4.000,3.000,3.000,5.000,7.000,7.000
055,Fear makes monsters out of nothing.,8.167,7.500,8.000,9.000,8.000,8.333,7.000,8.000,8.000,8.000,9.000,9.000
056,An iron can smooth the dunes in the desert.,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
057,A two-wheel drive vehicle is a horse missing its hind legs.,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
058,This ketchup is a spice bomb.,8.000,8.000,7.500,8.500,7.333,8.667,7.000,9.000,7.000,8.000,8.000,9.000
059,Spicy ketchup is liquid fuel for a flame.,8.167,8.000,8.000,8.500,8.333,8.000,8.000,8.000,8.000,8.000,9.000,8.000
060,Lego bricks can be a jetliner flying through the sky.,8.833,9.500,8.000,9.000,8.667,9.000,9.000,10.000,8.000,8.000,9.000,9.000
062,Your smile is a row of bright lightbulbs.,7.500,7.500,7.000,8.000,7.667,7.333,8.000,7.000,7.000,7.000,8.000,8.000
063,Education is a factory that shapes individuals into uniform blocks.,7.167,6.000,7.000,8.500,7.000,7.333,6.000,6.000,7.000,7.000,8.000,9.000
064,The lollipop is carved straight out of an apple.,5.000,4.500,5.000,5.500,5.000,5.000,5.000,4.000,5.000,5.000,5.000,6.000
065,A healthy diet is preventive medicine for your organs.,7.500,7.500,7.500,7.500,7.000,8.000,7.000,8.000,7.000,8.000,7.000,8.000
067,The Powner drilll is Nelson Mandela breaking through Apartheid.,5.833,4.500,7.000,6.000,5.333,6.333,4.000,5.000,7.000,7.000,5.000,7.000
068,Hellman's mayonnaise turns meals into helium balloons.,7.750,7.500,7.500,8.250,7.333,8.167,7.000,8.000,7.000,8.000,8.000,8.500
069,McCafé coffee is fuel in a cup.,7.333,7.500,6.500,8.000,7.000,7.667,7.000,8.000,6.000,7.000,8.000,8.000
070,Fries are as addictive as cigarettes.,4.500,4.000,4.500,5.000,3.000,6.000,3.000,5.000,3.000,6.000,3.000,7.000
071,Coffee beans are heavy eyelids opening wide.,6.500,6.000,6.000,7.500,6.667,6.333,6.000,6.000,7.000,5.000,7.000,8.000
072,The earth is a kitchen prep station for local ingredients.,8.500,8.500,8.000,9.000,8.333,8.667,8.000,9.000,8.000,8.000,9.000,9.000
073,The harvester has become the crop.,8.250,8.000,8.000,8.750,8.333,8.167,8.000,8.000,8.000,8.000,9.000,8.500
074,Milo allows you to wake up as a champion.,7.000,6.500,6.500,8.000,6.667,7.333,6.000,7.000,6.000,7.000,8.000,8.000
076,Vodka freshly tapped from nature.,6.333,5.500,5.500,8.000,6.667,6.000,6.000,5.000,5.000,6.000,9.000,7.000
077,Nescafé is a battery.,5.833,5.500,5.000,7.000,4.667,7.000,4.000,7.000,4.000,6.000,6.000,8.000
078,Evian is a mountain in a bottle.,8.333,8.000,8.000,9.000,8.667,8.000,9.000,7.000,8.000,8.000,9.000,9.000
079,Nivea can smooth even a prickly cactus.,7.500,7.000,6.500,9.000,7.333,7.667,6.000,8.000,7.000,6.000,9.000,9.000
081,A blocked nose is a brick wall.,7.667,7.500,7.000,8.500,8.000,7.333,8.000,7.000,7.000,7.000,9.000,8.000
082,A spoonful of NyQuil is a concentrated flock of sleep.,7.333,6.000,7.000,9.000,6.667,8.000,5.000,7.000,6.000,8.000,9.000,9.000
083,A bottle cap is an oyster shell hiding a treasure.,8.833,8.500,9.000,9.000,8.667,9.000,8.000,9.000,9.000,9.000,9.000,9.000
084,The President spreads are a palette of flavours.,8.500,8.500,8.000,9.000,8.333,8.667,8.000,9.000,8.000,8.000,9.000,9.000
085,Parship is a zipper bringing couples together.,3.833,2.500,3.000,6.000,4.000,3.667,3.000,2.000,3.000,3.000,6.000,6.000
086,Pepsi injects life right into your veins.,6.833,6.500,6.500,7.500,7.333,6.333,7.000,6.000,7.000,6.000,8.000,7.000
087,Mugler perfume is a flower.,8.167,8.000,7.500,9.000,8.000,8.333,8.000,8.000,7.000,8.000,9.000,9.000
088,Words can be deadly.,8.000,8.000,7.500,8.500,8.333,7.667,8.000,8.000,8.000,7.000,9.000,8.000
089,Your phone is a mouse trap.,8.083,8.000,8.000,8.250,8.000,8.167,8.000,8.000,8.000,8.000,8.000,8.500
090,Pizza delivery is a paper airplane flying through the city.,7.917,8.000,7.500,8.250,8.000,7.833,8.000,8.000,8.000,7.000,8.000,8.500
091,The penguin's last continent is a shopping bag.,8.833,9.000,8.500,9.000,9.000,8.667,9.000,9.000,9.000,8.000,9.000,9.000
092,Coca Cola is a power chord.,6.583,5.000,6.500,8.250,6.667,6.500,5.000,5.000,7.000,6.000,8.000,8.500
093,Two cans of bug spray are a holy cross.,8.333,8.500,8.000,8.500,8.000,8.667,8.000,9.000,8.000,8.000,8.000,9.000
094,An open book is an umbrella shielding a child from a storm of smartphones.,8.917,9.000,9.000,8.750,9.000,8.833,9.000,9.000,9.000,9.000,9.000,8.500
095,Red bull is a battery.,6.333,6.000,5.500,7.500,5.333,7.333,5.000,7.000,5.000,6.000,6.000,9.000
096,Automotive safety is a gem to be treasured.,6.667,7.000,6.000,7.000,6.667,6.667,7.000,7.000,6.000,6.000,7.000,7.000
097,A strip of adhesive tape is a flypaper trap catching airplanes in mid-air.,8.500,8.500,8.500,8.500,8.000,9.000,8.000,9.000,8.000,9.000,8.000,9.000
098,A work boot is a heavy-duty bulldozer.,6.000,5.500,6.000,6.500,6.000,6.000,6.000,5.000,6.000,6.000,6.000,7.000
099,A high heel shoe is a striking snake.,8.500,8.500,8.000,9.000,8.333,8.667,8.000,9.000,8.000,8.000,9.000,9.000
100,Social media is a hamster wheel.,8.333,8.500,8.500,8.000,8.000,8.667,8.000,9.000,8.000,9.000,8.000,8.000
101,A social media feed is a roll of toilet paper.,6.500,6.000,6.500,7.000,6.667,6.333,6.000,6.000,7.000,6.000,7.000,7.000
102,My tongue is an old sock.,1.667,2.000,1.500,1.500,2.000,1.333,2.000,2.000,2.000,1.000,2.000,1.000
104,Floslek Sun Care is an oasis of shade on a scorching summer day.,3.000,2.500,2.500,4.000,3.333,2.667,3.000,2.000,3.000,2.000,4.000,4.000
105,Tabasco sauce is a fire extinguisher.,3.000,2.500,2.500,4.000,3.000,3.000,3.000,2.000,3.000,2.000,3.000,5.000
107,You cannot afford to gamble with your dental health.,8.167,8.500,7.500,8.500,7.667,8.667,8.000,9.000,7.000,8.000,8.000,9.000
108,Tic tacs are as sweet and delicious as strawberries.,6.000,5.500,4.500,8.000,5.667,6.333,5.000,6.000,4.000,5.000,8.000,8.000
109,An unauthorized car service is a predatory dinosaur waiting to strike.,7.167,6.500,7.000,8.000,6.667,7.667,6.000,7.000,6.000,8.000,8.000,8.000
110,Driving a Honda is sitting in a train on rails.,8.083,8.500,8.000,7.750,7.667,8.500,8.000,9.000,8.000,8.000,7.000,8.500
111,Ocean pollution is heading straight to the dinner table.,8.500,9.000,8.000,8.500,8.333,8.667,9.000,9.000,8.000,8.000,8.000,9.000
112,Faber-Castell pencils can be as brown as a dachshund.,7.167,8.500,5.500,7.500,6.667,7.667,8.000,9.000,5.000,6.000,7.000,8.000
113,Listen to your uterus to recognise the signs of cancer.,6.833,6.500,6.500,7.500,6.333,7.333,6.000,7.000,6.000,7.000,7.000,8.000
114,Vaseline can smooth cracks in dried earth.,7.833,7.000,7.500,9.000,7.667,8.000,7.000,7.000,7.000,8.000,9.000,9.000
115,Vaseline can be used for art restoration.,7.167,6.500,6.500,8.500,7.000,7.333,7.000,6.000,6.000,7.000,8.000,9.000
116,Industrial smokestacks are the surface proteins of a deadly virus.,8.667,9.000,8.000,9.000,N/A,8.667,N/A,9.000,N/A,8.000,N/A,9.000
117,A brain is not as tough to crack as a walnut,4.000,3.500,4.000,4.500,3.333,4.667,3.000,4.000,4.000,4.000,3.000,6.000
119,Prescription drug abuse is a daily schedule for mortality.,6.667,6.000,6.000,8.000,6.667,6.667,6.000,6.000,6.000,6.000,8.000,8.000
120,Human hunters are the ultimate game in nature's flipped hierarchy.,6.500,5.500,6.000,8.000,5.667,7.333,5.000,6.000,5.000,7.000,7.000,9.000
121,Select the colour palette of your morning toast.,8.333,8.500,7.500,9.000,8.000,8.667,8.000,9.000,7.000,8.000,9.000,9.000
122,Failing to social distance is an explosion waiting to happen.,7.333,7.500,7.000,7.500,7.333,7.333,7.000,8.000,7.000,7.000,8.000,7.000
124,Wildife is a living symphony orchestra.,6.833,6.000,6.000,8.500,6.333,7.333,6.000,6.000,5.000,7.000,8.000,9.000
125,The canvas sails of a galleon ship are a swarm of vibrant butterflies.,8.833,9.000,8.500,9.000,8.667,9.000,9.000,9.000,8.000,9.000,9.000,9.000
129,Drink away your riches,6.333,6.000,5.500,7.500,6.000,6.667,6.000,6.000,4.000,7.000,8.000,7.000
130,Global warming is a ticking bomb,8.500,8.500,8.000,9.000,8.333,8.667,8.000,9.000,8.000,8.000,9.000,9.000
131,A party in your mouth,8.500,9.000,8.000,8.500,8.333,8.667,9.000,9.000,8.000,8.000,8.000,9.000
132,Love is a hear-shaped donut,6.000,4.500,4.500,9.000,5.000,7.000,3.000,6.000,3.000,6.000,9.000,9.000
133,The burger is a flame of flavour,7.000,7.000,5.500,8.500,6.000,8.000,6.000,8.000,4.000,7.000,8.000,9.000
134,The car can go as fast as the wind,6.833,6.500,6.000,8.000,6.000,7.667,6.000,7.000,5.000,7.000,7.000,9.000
135,The sky is the limit,6.500,5.500,5.500,8.500,6.000,7.000,6.000,5.000,4.000,7.000,8.000,9.000
136,The strawberries are as big as mountains,8.833,9.000,8.500,9.000,8.667,9.000,9.000,9.000,8.000,9.000,9.000,9.000
137,Words burn,6.833,6.000,5.500,9.000,5.333,8.333,4.000,8.000,3.000,8.000,9.000,9.000
138,Words can be deadly,7.667,7.500,7.500,8.000,7.333,8.000,7.000,8.000,7.000,8.000,8.000,8.000
139,Your heart is calling,5.667,4.000,5.000,8.000,5.667,5.667,4.000,4.000,5.000,5.000,8.000,8.000
140,Chocolate as smooth as silk,7.167,6.500,6.500,8.500,6.667,7.667,6.000,7.000,6.000,7.000,8.000,9.000
141,Love is in your bones,7.333,6.500,7.000,8.500,7.000,7.667,6.000,7.000,7.000,7.000,8.000,9.000
142,Adam did not understand the root of the crisis,7.333,7.000,7.000,8.000,7.000,7.667,6.000,8.000,7.000,7.000,8.000,8.000
144,Her pen was a knife,6.500,5.500,6.000,8.000,6.667,6.333,6.000,5.000,6.000,6.000,8.000,8.000
145,I was alone in a sea of unknown faces,8.000,7.500,7.500,9.000,8.333,7.667,8.000,7.000,8.000,7.000,9.000,9.000
146,It is sad to observe the fruits of ignorance,6.000,4.500,5.500,8.000,5.333,6.667,4.000,5.000,4.000,7.000,8.000,8.000
147,The faculty meeting was a nightmare,7.833,7.000,7.500,9.000,7.667,8.000,7.000,7.000,7.000,8.000,9.000,9.000
150,We were in the jaws of death.,7.167,6.000,7.500,8.000,7.000,7.333,6.000,6.000,7.000,8.000,8.000,8.000
151,The seed of life was planted on our planet,7.167,6.500,6.500,8.500,6.667,7.667,6.000,7.000,6.000,7.000,8.000,9.000
152,An ancient anger exploded in his heart,8.000,7.500,7.500,9.000,7.667,8.333,7.000,8.000,7.000,8.000,9.000,9.000
153,My love is a summer day.,3.000,2.500,2.000,4.500,2.667,3.333,2.000,3.000,2.000,2.000,4.000,5.000
154,The crowd was a roaring river.,8.167,8.000,8.000,8.500,8.000,8.333,8.000,8.000,8.000,8.000,8.000,9.000
155,A heartbear is like a never-ending stampede of buffalo.,2.833,2.500,2.500,3.500,3.333,2.333,3.000,2.000,3.000,2.000,4.000,3.000
158,Alcohol is a friend.,4.500,4.000,4.000,5.500,3.667,5.333,4.000,4.000,3.000,5.000,4.000,7.000
159,America is a gun.,5.833,4.500,5.500,7.500,6.000,5.667,5.000,4.000,5.000,6.000,8.000,7.000
160,An educated women is a danger.,6.833,6.500,6.000,8.000,6.667,7.000,6.000,7.000,6.000,6.000,8.000,8.000
161,An unexpected loss is a blow to the face.,4.167,3.000,3.000,6.500,4.333,4.000,3.000,3.000,3.000,3.000,7.000,6.000
162,Anger is a demon that preys on the soul.,8.167,7.000,8.500,9.000,8.000,8.333,7.000,7.000,8.000,9.000,9.000,9.000
164,Autumn is a depression,6.667,6.000,5.500,8.500,6.333,7.000,6.000,6.000,5.000,6.000,8.000,9.000
169,Every sin is a wage you must pay.,6.833,6.000,6.500,8.000,7.000,6.667,6.000,6.000,7.000,6.000,8.000,8.000
170,Failure is a treacherous pit.,6.000,5.000,4.500,8.500,6.000,6.000,5.000,5.000,5.000,4.000,8.000,9.000
171,Faith is a dangerous road.,5.000,3.500,4.000,7.500,5.000,5.000,3.000,4.000,4.000,4.000,8.000,7.000
172,Fear is a lock,7.167,6.500,6.500,8.500,7.000,7.333,6.000,7.000,7.000,6.000,8.000,9.000
173,Friendship is a sheltering tree.,8.167,8.000,7.500,9.000,8.333,8.000,8.000,8.000,8.000,7.000,9.000,9.000
174,Hate is a blizzard,3.333,2.000,2.500,5.500,2.667,4.000,2.000,2.000,2.000,3.000,4.000,7.000
175,Her hair is a bird's nest,8.167,8.500,7.500,8.500,7.667,8.667,8.000,9.000,7.000,8.000,8.000,9.000
176,"Her hair is a rippling, tossing sea",8.500,8.500,8.000,9.000,8.333,8.667,8.000,9.000,8.000,8.000,9.000,9.000
177,Her hair is like the curling mist,8.667,8.500,8.500,9.000,8.333,9.000,8.000,9.000,8.000,9.000,9.000,9.000
178,Her love is a hurricane.,7.000,5.500,6.500,9.000,7.000,7.000,6.000,5.000,6.000,7.000,9.000,9.000
180,Her smile is a warm fire that melts my heart.,8.250,8.000,8.000,8.750,8.333,8.167,8.000,8.000,8.000,8.000,9.000,8.500
181,Her soul is a quiet sea.,6.583,5.500,6.000,8.250,6.000,7.167,5.000,6.000,5.000,7.000,8.000,8.500
186,Love is a dead end.,8.167,8.000,7.500,9.000,8.000,8.333,8.000,8.000,7.000,8.000,9.000,9.000
189,My brain is a box of crayons,7.833,8.000,7.000,8.500,7.333,8.333,8.000,8.000,6.000,8.000,8.000,9.000
190,My heart is a blank canvas waiting to be painted.,8.500,8.500,8.000,9.000,8.333,8.667,8.000,9.000,8.000,8.000,9.000,9.000
192,My heart is a garden tired with autumn,7.167,7.000,5.500,9.000,7.000,7.333,6.000,8.000,6.000,5.000,9.000,9.000
194,My mind is a desert and I am an explorer.,6.833,5.000,6.500,9.000,7.000,6.667,5.000,5.000,7.000,6.000,9.000,9.000
195,My mouth is a music box.,8.000,8.500,7.000,8.500,7.333,8.667,8.000,9.000,6.000,8.000,8.000,9.000
198,My soul is a bird with broken wings.,5.167,4.000,5.000,6.500,5.000,5.333,4.000,4.000,4.000,6.000,7.000,6.000
199,Night is a toddler crawling on the floor.,1.500,1.500,1.500,1.500,2.000,1.000,2.000,1.000,2.000,1.000,2.000,1.000
200,Our love is a board game.,5.167,4.500,4.500,6.500,4.000,6.333,4.000,5.000,3.000,6.000,5.000,8.000
201,The blazing sun is a ballroom dancer.,7.500,6.500,7.000,9.000,7.000,8.000,6.000,7.000,6.000,8.000,9.000,9.000
202,The earth is a succulent Sunday roast.,8.500,9.000,7.500,9.000,8.333,8.667,9.000,9.000,7.000,8.000,9.000,9.000
203,The earth is a mother.,8.333,8.500,7.500,9.000,8.333,8.333,8.000,9.000,8.000,7.000,9.000,9.000
204,The mind is a glass fortress.,4.000,3.000,2.000,7.000,4.000,4.000,3.000,3.000,2.000,2.000,7.000,7.000
205,The moon's crescent is a smile.,5.000,4.000,4.500,6.500,3.333,6.667,3.000,5.000,3.000,6.000,4.000,9.000
206,The ocean is a turbid grave.,7.333,6.500,6.500,9.000,7.000,7.667,6.000,7.000,6.000,7.000,9.000,9.000
207,The planet is a sinking ship.,7.333,7.500,7.000,7.500,6.667,8.000,6.000,9.000,7.000,7.000,7.000,8.000
208,The snow is a soft bed.,7.333,7.000,6.000,9.000,7.333,7.333,7.000,7.000,6.000,6.000,9.000,9.000
209,The sun is a wounded deer.,8.167,8.000,7.500,9.000,8.333,8.000,8.000,8.000,8.000,7.000,9.000,9.000
210,The world is a paintbrush,6.750,4.500,7.000,8.750,7.667,5.833,6.000,3.000,8.000,6.000,9.000,8.500
211,The world is a stage,8.667,8.500,8.500,9.000,8.333,9.000,8.000,9.000,8.000,9.000,9.000,9.000
212,Thought is a vulture,2.833,2.000,2.000,4.500,2.333,3.333,2.000,2.000,2.000,2.000,3.000,6.000
213,Time is a bus and I am running behind.,8.833,9.000,8.500,9.000,9.000,8.667,9.000,9.000,9.000,8.000,9.000,9.000
214,Time is a thief,7.500,6.500,7.500,8.500,7.000,8.000,6.000,7.000,7.000,8.000,8.000,9.000
215,True love is like plum blossoms in bloom.,3.333,2.000,2.000,6.000,4.000,2.667,2.000,2.000,2.000,2.000,8.000,4.000
216,Winter is a bony old crone,8.167,8.000,7.500,9.000,8.000,8.333,8.000,8.000,7.000,8.000,9.000,9.000
217,Work is a living hell,8.833,9.000,8.500,9.000,8.667,9.000,9.000,9.000,8.000,9.000,9.000,9.000
218,Your face is a canvas,8.667,8.500,8.500,9.000,8.333,9.000,8.000,9.000,8.000,9.000,9.000,9.000
219,Your mind is a powerful tool,6.833,6.500,5.500,8.500,6.000,7.667,5.000,8.000,5.000,6.000,8.000,9.000
220,A friend is a treasure,5.833,5.000,5.000,7.500,4.667,7.000,4.000,6.000,4.000,6.000,6.000,9.000
221,He was a cheetah in the race.,2.667,3.000,2.000,3.000,2.667,2.667,3.000,3.000,2.000,2.000,3.000,3.000
224,His fear is his prison.,7.333,6.000,7.500,8.500,7.667,7.000,6.000,6.000,8.000,7.000,9.000,8.000
225,India's culture is a salad bowl.,5.333,4.000,5.500,6.500,5.667,5.000,4.000,4.000,5.000,6.000,8.000,5.000
226,Laughter is the best medicine.,7.667,7.500,7.500,8.000,7.333,8.000,7.000,8.000,7.000,8.000,8.000,8.000
227,Life is a maze.,6.833,5.500,6.000,9.000,7.000,6.667,6.000,5.000,6.000,6.000,9.000,9.000
228,The classroom was a zoo.,6.667,6.000,6.000,8.000,6.667,6.667,6.000,6.000,6.000,6.000,8.000,8.000
229,The mind is a computer.,8.000,8.000,7.000,9.000,7.667,8.333,8.000,8.000,6.000,8.000,9.000,9.000
230,The professor was a guiding light for him.,7.833,7.500,7.500,8.500,7.333,8.333,7.000,8.000,7.000,8.000,8.000,9.000
231,The stormy ocean was a raging bull.,8.333,8.500,7.500,9.000,8.000,8.667,8.000,9.000,7.000,8.000,9.000,9.000
232,Airports are pools of money from passenger fees.,8.000,8.000,7.000,9.000,8.000,8.000,8.000,8.000,7.000,7.000,9.000,9.000
233,The soul is envy's favourite meal.,6.833,5.000,6.500,9.000,7.000,6.667,5.000,5.000,7.000,6.000,9.000,9.000
234,I really hope society wakes up soon.,8.167,8.000,8.000,8.500,7.333,9.000,7.000,9.000,7.000,9.000,8.000,9.000
235,My computer slipped into a coma.,6.167,4.500,6.000,8.000,6.667,5.667,5.000,4.000,6.000,6.000,9.000,7.000
236,The French bourgeoisie has rushed into a blind alley.,7.333,6.500,7.000,8.500,7.333,7.333,7.000,6.000,7.000,7.000,8.000,9.000
237,My future is a cloudy sky.,5.833,5.000,5.500,7.000,6.000,5.667,5.000,5.000,5.000,6.000,8.000,6.000
238,The company is letting money walk out the door.,7.333,7.500,6.500,8.000,7.000,7.667,7.000,8.000,6.000,7.000,8.000,8.000
239,Her mind was a lighthouse beacon to him.,5.667,4.000,6.000,7.000,5.333,6.000,4.000,4.000,5.000,7.000,7.000,7.000
240,He had a full bag of memories to unload.,7.833,7.500,7.500,8.500,7.333,8.333,7.000,8.000,7.000,8.000,8.000,9.000
242,He is drowning in a sea of work.,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
244,He is the shining star of our school.,7.000,6.000,6.500,8.500,6.667,7.333,6.000,6.000,6.000,7.000,8.000,9.000
245,He is the sun of my sky.,4.500,3.500,4.000,6.000,4.667,4.333,4.000,3.000,3.000,5.000,7.000,5.000
246,He liked the gym as much as a case of the measles.,8.000,8.000,7.500,8.500,8.000,8.000,8.000,8.000,7.000,8.000,9.000,8.000
247,He looked neither one way nor the other way but sat like a carved image.,7.333,6.500,7.000,8.500,7.667,7.000,7.000,6.000,7.000,7.000,9.000,8.000
248,"He should be in his car now, driving away, and yet here he was, like a fly caught in a spiderweb.",8.000,7.500,7.500,9.000,7.667,8.333,7.000,8.000,7.000,8.000,9.000,9.000
249,He wanted to set sail on the ocean of love but instead wasted away in the desert.,7.083,6.000,7.000,8.250,7.000,7.167,6.000,6.000,7.000,7.000,8.000,8.500
250,Her forehead was like an old map.,8.667,9.000,8.000,9.000,8.667,8.667,9.000,9.000,8.000,8.000,9.000,9.000
