id,metaphor,mean_judge_score,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_gemini-3.5-flash,judge_model_claude-opus-4-8,judge_model_llama-4-maverick,metaphor_consistency__gemini-3.5-flash,metaphor_consistency__claude-opus-4-8,metaphor_consistency__llama-4-maverick,analogy_appropriateness__gemini-3.5-flash,analogy_appropriateness__claude-opus-4-8,analogy_appropriateness__llama-4-maverick,conceptual_integration__gemini-3.5-flash,conceptual_integration__claude-opus-4-8,conceptual_integration__llama-4-maverick
025,A deadline is a trap closing in on a worker.,8.278,7.667,8.833,8.333,8.500,7.333,9.000,7.000,7.000,9.000,9.500,8.000,9.000,9.000,7.000,9.000
026,Coffee switches you on like a lightswitch.,8.667,8.667,9.000,8.333,8.000,9.333,8.667,7.000,10.000,9.000,9.000,9.000,9.000,8.000,9.000,8.000
027,Colgate toothpaste throws a spotlight on your teeth.,8.889,9.000,8.667,9.000,8.667,8.667,9.333,7.000,10.000,10.000,9.000,8.000,9.000,10.000,8.000,9.000
028,Jaywalking is a death sentence.,7.222,6.333,7.333,8.000,7.333,5.667,8.667,5.000,6.000,8.000,8.000,5.000,9.000,9.000,6.000,9.000
029,"If not cooled correctly, vegetables are dead corpses.",7.667,8.000,8.667,6.333,6.667,8.000,8.333,7.000,9.000,8.000,9.000,8.000,9.000,4.000,7.000,8.000
030,The pharmaceutical industry is a money machine.,8.333,8.333,8.667,8.000,8.333,8.000,8.667,7.000,9.000,9.000,9.000,8.000,9.000,9.000,7.000,8.000
031,Healthcare is a coin-operated service.,8.833,8.333,9.167,9.000,8.500,9.000,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.000,9.000,9.000
032,"Krispy Kreme donuts can be found in Scottland, like the Loch Ness monster.",8.778,8.667,8.667,9.000,8.333,9.000,9.000,7.000,10.000,9.000,9.000,8.000,9.000,9.000,9.000,9.000
033,Yunky donut arrests your hunger.,6.444,5.333,6.333,7.667,6.000,4.667,8.667,4.000,4.000,8.000,6.000,4.000,9.000,8.000,6.000,9.000
034,Doritos can turn eating chips into a thrilling flavour adventure.,8.556,8.333,8.667,8.667,8.333,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
035,Dove cream is a flower.,8.250,7.667,8.667,8.500,8.000,8.333,8.333,7.000,8.000,8.000,9.000,8.000,9.000,N/A,9.000,8.000
036,Drunk driving is a recipe for a car crash.,8.222,8.000,8.667,8.000,8.333,8.000,8.333,7.000,9.000,8.000,9.000,8.000,9.000,9.000,7.000,8.000
037,SONY pushes music deep into your ears.,7.667,7.667,7.667,7.667,7.000,7.000,9.000,6.000,8.000,9.000,8.000,6.000,9.000,7.000,7.000,9.000
038,A head not protected by a helmet is an egg waiting to crack.,7.889,7.667,8.000,8.000,7.000,8.000,8.667,7.000,8.000,8.000,7.000,8.000,9.000,7.000,8.000,9.000
039,Digital entertainment is a pallbearer for reading.,9.000,8.667,9.333,9.000,9.000,9.000,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,8.000,9.000
044,Coca Cola is fuel for your thoughts.,8.722,8.667,8.833,8.667,8.500,8.667,9.000,7.000,10.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
045,A sweet tooth is a predator chasing down your smile.,8.167,7.667,8.833,8.000,8.500,7.667,8.333,7.000,8.000,8.000,9.500,8.000,9.000,9.000,7.000,8.000
046,Clear vision is the lens that turns art into reality.,8.875,8.333,9.000,9.333,8.500,9.000,9.000,7.000,9.000,9.000,N/A,9.000,9.000,10.000,9.000,9.000
047,Faber-Castell pencils are the true colors of nature.,8.667,8.333,9.000,8.667,8.667,8.333,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,8.000,9.000
048,Strong hair gel has the grip of a lizard's feet.,7.778,7.000,8.667,7.667,8.667,6.000,8.667,7.000,6.000,8.000,10.000,7.000,9.000,9.000,5.000,9.000
049,Heinz ketchup is a stack of fresh tomatoes in a bottle.,9.000,8.667,9.333,9.000,9.000,9.000,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,8.000,9.000
050,The SUV's trunk is a dimensional fold that deletes physical length.,8.722,8.333,8.833,9.000,8.500,8.667,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.000,9.000,9.000
051,Global ice melting is as dangerous as a missile.,8.222,7.667,8.667,8.333,8.333,7.667,8.667,7.000,8.000,8.000,9.000,8.000,9.000,9.000,7.000,9.000
052,A polar bear's body is a fracturing iceberg.,9.000,8.667,9.333,9.000,8.500,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,N/A,9.000,9.000
053,A glass of beer is a good idea waiting to happen.,8.222,8.000,8.333,8.333,8.333,7.667,8.667,7.000,9.000,8.000,9.000,7.000,9.000,9.000,7.000,9.000
054,An ergonomic pillow is a sleep supplement.,8.111,8.333,8.667,7.333,8.333,7.333,8.667,7.000,9.000,9.000,9.000,8.000,9.000,9.000,5.000,8.000
055,Fear makes monsters out of nothing.,8.722,8.000,9.167,9.000,8.500,9.000,8.667,7.000,9.000,8.000,9.500,9.000,9.000,9.000,9.000,9.000
056,An iron can smooth the dunes in the desert.,8.667,8.000,9.000,9.000,8.667,8.667,8.667,7.000,9.000,8.000,10.000,8.000,9.000,9.000,9.000,9.000
057,A two-wheel drive vehicle is a horse missing its hind legs.,8.222,8.000,8.667,8.000,8.333,8.000,8.333,7.000,9.000,8.000,9.000,8.000,9.000,9.000,7.000,8.000
058,This ketchup is a spice bomb.,8.944,8.333,9.167,9.333,8.833,9.000,9.000,7.000,9.000,9.000,9.500,9.000,9.000,10.000,9.000,9.000
059,Spicy ketchup is liquid fuel for a flame.,9.222,9.333,9.000,9.333,10.000,8.667,9.000,10.000,9.000,9.000,10.000,8.000,9.000,10.000,9.000,9.000
060,Lego bricks can be a jetliner flying through the sky.,9.111,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
061,A condom is a life buoy.,8.222,8.333,8.667,7.667,8.333,7.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,5.000,9.000
062,Your smile is a row of bright lightbulbs.,7.667,7.333,8.000,7.667,7.333,6.667,9.000,6.000,7.000,9.000,9.000,6.000,9.000,7.000,7.000,9.000
063,Education is a factory that shapes individuals into uniform blocks.,8.889,8.667,9.333,8.667,8.667,9.000,9.000,7.000,10.000,9.000,10.000,9.000,9.000,9.000,8.000,9.000
064,The lollipop is carved straight out of an apple.,7.667,8.000,8.667,6.333,6.667,7.667,8.667,7.000,9.000,8.000,9.000,8.000,9.000,4.000,6.000,9.000
065,A healthy diet is preventive medicine for your organs.,7.556,7.333,8.333,7.000,8.000,6.333,8.333,7.000,7.000,8.000,9.000,7.000,9.000,8.000,5.000,8.000
066,Choosing not to donate organs is treating human life like refuse.,7.875,7.667,8.333,7.500,8.000,7.000,8.667,7.000,7.000,9.000,9.000,7.000,9.000,N/A,7.000,8.000
067,The Powner drilll is Nelson Mandela breaking through Apartheid.,7.000,7.333,8.000,5.667,6.667,6.333,8.000,7.000,8.000,7.000,8.000,7.000,9.000,5.000,4.000,8.000
068,Hellman's mayonnaise turns meals into helium balloons.,8.125,8.333,8.333,7.500,8.000,7.000,9.333,7.000,8.000,10.000,9.000,7.000,9.000,N/A,6.000,9.000
069,McCafé coffee is fuel in a cup.,8.667,8.667,9.000,8.333,8.333,9.000,8.667,7.000,10.000,9.000,9.000,9.000,9.000,9.000,8.000,8.000
070,Fries are as addictive as cigarettes.,8.722,8.333,9.167,8.667,8.500,8.667,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.000,8.000,9.000
071,Coffee beans are heavy eyelids opening wide.,8.556,8.333,8.667,8.667,8.333,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
072,The earth is a kitchen prep station for local ingredients.,8.556,8.333,8.667,8.667,8.333,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
073,The harvester has become the crop.,7.500,6.667,8.500,7.333,8.500,5.333,8.667,7.000,5.000,8.000,9.500,7.000,9.000,9.000,4.000,9.000
074,Milo allows you to wake up as a champion.,8.333,8.000,8.667,8.333,8.333,8.000,8.667,7.000,9.000,8.000,9.000,8.000,9.000,9.000,7.000,9.000
075,"Life is a massive wave to be surfed, not feared.",9.000,8.667,9.000,9.333,9.000,8.333,9.667,7.000,9.000,10.000,10.000,8.000,9.000,10.000,8.000,10.000
076,Vodka freshly tapped from nature.,8.444,8.333,8.333,8.667,8.333,8.000,9.000,7.000,9.000,9.000,9.000,7.000,9.000,9.000,8.000,9.000
077,Nescafé is a battery.,9.111,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
078,Evian is a mountain in a bottle.,9.125,9.000,9.000,9.333,8.500,9.333,9.333,7.000,10.000,10.000,N/A,9.000,9.000,10.000,9.000,9.000
079,Nivea can smooth even a prickly cactus.,8.667,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
080,Human skin exposed to the sun is bread in a toaster.,8.500,9.000,9.000,7.000,8.000,8.333,9.000,7.000,10.000,10.000,9.000,9.000,9.000,N/A,6.000,8.000
081,A blocked nose is a brick wall.,8.667,8.333,9.000,8.667,8.667,8.333,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,8.000,9.000
082,A spoonful of NyQuil is a concentrated flock of sleep.,8.556,8.667,8.667,8.333,8.000,8.333,9.333,7.000,9.000,10.000,9.000,8.000,9.000,8.000,8.000,9.000
083,A bottle cap is an oyster shell hiding a treasure.,8.722,8.667,8.833,8.667,8.500,8.333,9.333,7.000,9.000,10.000,9.500,8.000,9.000,9.000,8.000,9.000
084,The President spreads are a palette of flavours.,8.750,8.333,9.000,9.000,8.500,8.667,9.000,7.000,9.000,9.000,N/A,9.000,9.000,10.000,8.000,9.000
085,Parship is a zipper bringing couples together.,7.889,8.333,7.667,7.667,7.000,7.667,9.000,7.000,9.000,9.000,7.000,7.000,9.000,7.000,7.000,9.000
086,Pepsi injects life right into your veins.,7.889,8.333,8.333,7.000,7.333,7.667,8.667,7.000,9.000,9.000,8.000,8.000,9.000,7.000,6.000,8.000
087,Mugler perfume is a flower.,8.944,8.333,9.167,9.333,8.833,9.000,9.000,7.000,9.000,9.000,9.500,9.000,9.000,10.000,9.000,9.000
088,Words can be deadly.,8.444,8.333,8.667,8.333,8.333,8.000,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,7.000,9.000
089,Your phone is a mouse trap.,8.722,8.333,9.167,8.667,8.500,8.667,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.000,8.000,9.000
090,Pizza delivery is a paper airplane flying through the city.,8.944,9.000,8.833,9.000,8.833,8.667,9.333,7.000,10.000,10.000,9.500,8.000,9.000,10.000,8.000,9.000
091,The penguin's last continent is a shopping bag.,9.111,8.667,9.333,9.333,9.333,9.000,9.000,8.000,9.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
092,Coca Cola is a power chord.,7.889,7.667,7.667,8.333,8.000,6.667,9.000,7.000,7.000,9.000,8.000,6.000,9.000,9.000,7.000,9.000
093,Two cans of bug spray are a holy cross.,8.667,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
094,An open book is an umbrella shielding a child from a storm of smartphones.,9.000,8.667,9.000,9.333,9.000,9.000,9.000,7.000,10.000,9.000,10.000,8.000,9.000,10.000,9.000,9.000
095,Red bull is a battery.,8.000,8.333,8.500,7.333,6.500,8.000,9.000,7.000,9.000,9.000,N/A,8.000,9.000,6.000,7.000,9.000
096,Automotive safety is a gem to be treasured.,8.250,8.333,8.500,8.000,8.000,8.000,8.667,7.000,9.000,9.000,N/A,8.000,9.000,9.000,7.000,8.000
097,A strip of adhesive tape is a flypaper trap catching airplanes in mid-air.,8.444,8.333,9.000,8.000,8.667,8.000,8.667,7.000,9.000,9.000,10.000,8.000,9.000,9.000,7.000,8.000
098,A work boot is a heavy-duty bulldozer.,7.222,7.333,8.667,5.667,7.000,6.000,8.667,7.000,6.000,9.000,9.000,8.000,9.000,5.000,4.000,8.000
099,A high heel shoe is a striking snake.,8.750,8.000,9.000,9.333,8.500,9.000,8.667,7.000,9.000,8.000,N/A,9.000,9.000,10.000,9.000,9.000
100,Social media is a hamster wheel.,9.000,8.667,9.333,9.000,9.333,8.667,9.000,8.000,9.000,9.000,10.000,9.000,9.000,10.000,8.000,9.000
101,A social media feed is a roll of toilet paper.,9.000,8.667,9.333,9.000,9.000,9.000,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,8.000,9.000
102,My tongue is an old sock.,9.222,9.000,9.333,9.333,9.000,9.333,9.333,7.000,10.000,10.000,10.000,9.000,9.000,10.000,9.000,9.000
104,Floslek Sun Care is an oasis of shade on a scorching summer day.,8.333,8.333,8.667,8.000,8.333,8.000,8.667,7.000,9.000,9.000,9.000,8.000,9.000,9.000,7.000,8.000
105,Tabasco sauce is a fire extinguisher.,7.333,5.333,8.333,8.333,8.333,8.333,5.333,7.000,9.000,0.000,9.000,8.000,8.000,9.000,8.000,8.000
106,Tampax tampons are dams.,8.444,8.333,8.667,8.333,8.000,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,8.000,8.000,9.000
107,You cannot afford to gamble with your dental health.,7.375,7.667,7.500,7.000,7.000,6.333,8.667,7.000,8.000,8.000,N/A,6.000,9.000,7.000,5.000,9.000
108,Tic tacs are as sweet and delicious as strawberries.,8.222,8.000,8.333,8.333,8.333,7.667,8.667,7.000,9.000,8.000,9.000,7.000,9.000,9.000,7.000,9.000
109,An unauthorized car service is a predatory dinosaur waiting to strike.,8.944,9.333,8.833,8.667,9.500,8.333,9.000,10.000,9.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
110,Driving a Honda is sitting in a train on rails.,8.444,8.333,8.667,8.333,8.333,8.333,8.667,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,8.000
111,Ocean pollution is heading straight to the dinner table.,9.111,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
112,Faber-Castell pencils can be as brown as a dachshund.,9.222,9.000,9.333,9.333,9.000,9.333,9.333,7.000,10.000,10.000,10.000,9.000,9.000,10.000,9.000,9.000
113,Listen to your uterus to recognise the signs of cancer.,7.889,7.667,8.333,7.667,8.000,7.333,8.333,7.000,8.000,8.000,9.000,7.000,9.000,8.000,7.000,8.000
114,Vaseline can smooth cracks in dried earth.,9.111,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
115,Vaseline can be used for art restoration.,8.222,8.333,8.000,8.333,8.333,7.333,9.000,7.000,9.000,9.000,9.000,6.000,9.000,9.000,7.000,9.000
116,Industrial smokestacks are the surface proteins of a deadly virus.,8.800,8.000,9.500,9.000,8.500,N/A,9.000,7.000,N/A,9.000,10.000,N/A,9.000,N/A,N/A,9.000
117,A brain is not as tough to crack as a walnut,8.556,7.667,9.000,9.000,8.667,8.333,8.667,7.000,8.000,8.000,9.000,9.000,9.000,10.000,8.000,9.000
118,Pink eye is as scary as horror movies.,8.556,8.333,8.667,8.667,8.333,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
119,Prescription drug abuse is a daily schedule for mortality.,8.625,8.333,8.500,9.000,8.500,8.333,9.000,7.000,9.000,9.000,N/A,8.000,9.000,10.000,8.000,9.000
120,Human hunters are the ultimate game in nature's flipped hierarchy.,8.375,8.333,8.333,8.500,8.000,8.000,9.000,7.000,9.000,9.000,9.000,7.000,9.000,N/A,8.000,9.000
121,Select the colour palette of your morning toast.,9.111,9.000,9.000,9.333,9.000,9.000,9.333,7.000,10.000,10.000,10.000,8.000,9.000,10.000,9.000,9.000
122,Failing to social distance is an explosion waiting to happen.,8.778,8.333,9.167,8.833,8.667,8.667,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.500,8.000,9.000
123,Killing a tree is killing a bird.,8.444,8.333,8.667,8.333,8.333,8.333,8.667,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,8.000
124,Wildife is a living symphony orchestra.,8.444,8.333,8.333,8.667,8.333,8.000,9.000,7.000,9.000,9.000,9.000,7.000,9.000,9.000,8.000,9.000
125,The canvas sails of a galleon ship are a swarm of vibrant butterflies.,8.778,8.000,9.000,9.333,9.000,8.667,8.667,7.000,9.000,8.000,10.000,8.000,9.000,10.000,9.000,9.000
129,Drink away your riches,8.889,8.333,9.000,9.333,9.000,8.667,9.000,7.000,9.000,9.000,10.000,8.000,9.000,10.000,9.000,9.000
130,Global warming is a ticking bomb,8.111,8.333,9.000,7.000,7.000,8.333,9.000,7.000,9.000,9.000,9.000,9.000,9.000,5.000,7.000,9.000
131,A party in your mouth,9.056,8.667,9.167,9.333,8.833,9.333,9.000,7.000,10.000,9.000,9.500,9.000,9.000,10.000,9.000,9.000
132,Love is a hear-shaped donut,8.556,8.333,8.333,9.000,8.667,8.000,9.000,7.000,9.000,9.000,9.000,7.000,9.000,10.000,8.000,9.000
133,The burger is a flame of flavour,8.556,8.667,8.000,9.000,8.000,8.333,9.333,7.000,9.000,10.000,8.000,7.000,9.000,9.000,9.000,9.000
134,The car can go as fast as the wind,8.444,8.000,8.667,8.667,8.667,7.667,9.000,7.000,8.000,9.000,9.000,8.000,9.000,10.000,7.000,9.000
135,The sky is the limit,8.111,7.667,8.333,8.333,8.333,7.333,8.667,7.000,8.000,8.000,9.000,7.000,9.000,9.000,7.000,9.000
136,The strawberries are as big as mountains,9.111,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
137,Words burn,8.111,8.000,7.000,9.333,8.333,7.000,9.000,7.000,8.000,9.000,8.000,4.000,9.000,10.000,9.000,9.000
138,Words can be deadly,8.667,8.333,8.667,9.000,8.333,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,9.000
139,Your heart is calling,7.875,7.000,8.333,8.500,7.500,7.333,8.667,6.000,7.000,8.000,9.000,7.000,9.000,N/A,8.000,9.000
140,Chocolate as smooth as silk,8.778,8.000,9.000,9.333,9.000,8.667,8.667,7.000,9.000,8.000,10.000,8.000,9.000,10.000,9.000,9.000
141,Love is in your bones,8.556,8.333,8.667,8.667,8.333,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
142,Adam did not understand the root of the crisis,8.389,7.667,8.667,8.833,8.500,8.000,8.667,7.000,8.000,8.000,9.000,8.000,9.000,9.500,8.000,9.000
143,He felt a wave of anger,8.583,7.500,9.250,9.000,8.500,N/A,8.667,7.000,N/A,8.000,9.500,N/A,9.000,9.000,N/A,9.000
144,Her pen was a knife,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
145,I was alone in a sea of unknown faces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
146,It is sad to observe the fruits of ignorance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
147,The faculty meeting was a nightmare,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
148,The guy was a floating whale in a small swimming pool.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
149,The sky was on fire and he felt pain pouring down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
150,We were in the jaws of death.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
151,The seed of life was planted on our planet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
152,An ancient anger exploded in his heart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
153,My love is a summer day.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
154,The crowd was a roaring river.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
155,A heartbear is like a never-ending stampede of buffalo.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
156,A woman's heart is a harp of gold.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
157,Absence is a dark room where a lover develops negatives.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
158,Alcohol is a friend.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
159,America is a gun.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160,An educated women is a danger.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
161,An unexpected loss is a blow to the face.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
162,Anger is a demon that preys on the soul.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
163,Anxiety is a freight train as it runs over a deer.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
164,Autumn is a depression,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
169,Every sin is a wage you must pay.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Failure is a treacherous pit.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
171,Faith is a dangerous road.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
172,Fear is a lock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
173,Friendship is a sheltering tree.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
174,Hate is a blizzard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
175,Her hair is a bird's nest,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
176,"Her hair is a rippling, tossing sea",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
177,Her hair is like the curling mist,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
