group_id,pair_1_id,pair_2_id,pair_3_id,pair_4_id,pair_5_id,pair_1_metaphor,pair_2_metaphor,pair_3_metaphor,pair_4_metaphor,pair_5_metaphor,pair_1_zero_image,pair_2_zero_image,pair_3_zero_image,pair_4_zero_image,pair_5_zero_image,pair_1_last_image,pair_2_last_image,pair_3_last_image,pair_4_last_image,pair_5_last_image
11,218,125,098,231,068,Your face is a canvas,The canvas sails of a galleon ship are a swarm of vibrant butterflies.,A work boot is a heavy-duty bulldozer.,The stormy ocean was a raging bull.,Hellman's mayonnaise turns meals into helium balloons.,visual_reasoning/experiment_1/zero_filtered/218.png,visual_reasoning/experiment_1/zero_filtered/125.png,visual_reasoning/experiment_1/zero_filtered/098.png,visual_reasoning/experiment_1/zero_filtered/231.png,visual_reasoning/experiment_1/zero_filtered/068.png,visual_reasoning/experiment_1/last_filtered/218.png,visual_reasoning/experiment_1/last_filtered/125.png,visual_reasoning/experiment_1/last_filtered/098.png,visual_reasoning/experiment_1/last_filtered/231.png,visual_reasoning/experiment_1/last_filtered/068.png
12,198,065,232,037,229,My soul is a bird with broken wings.,A healthy diet is preventive medicine for your organs.,Airports are pools of money from passenger fees.,SONY pushes music deep into your ears.,The mind is a computer.,visual_reasoning/experiment_1/zero_filtered/198.png,visual_reasoning/experiment_1/zero_filtered/065.png,visual_reasoning/experiment_1/zero_filtered/232.png,visual_reasoning/experiment_1/zero_filtered/037.png,visual_reasoning/experiment_1/zero_filtered/229.png,visual_reasoning/experiment_1/last_filtered/198.png,visual_reasoning/experiment_1/last_filtered/065.png,visual_reasoning/experiment_1/last_filtered/232.png,visual_reasoning/experiment_1/last_filtered/037.png,visual_reasoning/experiment_1/last_filtered/229.png
13,131,134,111,136,224,A party in your mouth,The car can go as fast as the wind,Ocean pollution is heading straight to the dinner table.,The strawberries are as big as mountains,His fear is his prison.,visual_reasoning/experiment_1/zero_filtered/131.png,visual_reasoning/experiment_1/zero_filtered/134.png,visual_reasoning/experiment_1/zero_filtered/111.png,visual_reasoning/experiment_1/zero_filtered/136.png,visual_reasoning/experiment_1/zero_filtered/224.png,visual_reasoning/experiment_1/last_filtered/131.png,visual_reasoning/experiment_1/last_filtered/134.png,visual_reasoning/experiment_1/last_filtered/111.png,visual_reasoning/experiment_1/last_filtered/136.png,visual_reasoning/experiment_1/last_filtered/224.png
14,141,164,138,116,213,Love is in your bones,Autumn is a depression,Words can be deadly,Industrial smokestacks are the surface proteins of a deadly virus.,Time is a bus and I am running behind.,visual_reasoning/experiment_1/zero_filtered/141.png,visual_reasoning/experiment_1/zero_filtered/164.png,visual_reasoning/experiment_1/zero_filtered/138.png,visual_reasoning/experiment_1/zero_filtered/116.png,visual_reasoning/experiment_1/zero_filtered/213.png,visual_reasoning/experiment_1/last_filtered/141.png,visual_reasoning/experiment_1/last_filtered/164.png,visual_reasoning/experiment_1/last_filtered/138.png,visual_reasoning/experiment_1/last_filtered/116.png,visual_reasoning/experiment_1/last_filtered/213.png
15,101,154,067,047,072,A social media feed is a roll of toilet paper.,The crowd was a roaring river.,The Powner drilll is Nelson Mandela breaking through Apartheid.,Faber-Castell pencils are the true colors of nature.,The earth is a kitchen prep station for local ingredients.,visual_reasoning/experiment_1/zero_filtered/101.png,visual_reasoning/experiment_1/zero_filtered/154.png,visual_reasoning/experiment_1/zero_filtered/067.png,visual_reasoning/experiment_1/zero_filtered/047.png,visual_reasoning/experiment_1/zero_filtered/072.png,visual_reasoning/experiment_1/last_filtered/101.png,visual_reasoning/experiment_1/last_filtered/154.png,visual_reasoning/experiment_1/last_filtered/067.png,visual_reasoning/experiment_1/last_filtered/047.png,visual_reasoning/experiment_1/last_filtered/072.png
16,089,238,012,039,210,Your phone is a mouse trap.,The company is letting money walk out the door.,Cadbury chocolate is as creamy as fresh milk.,Digital entertainment is a pallbearer for reading.,The world is a paintbrush,visual_reasoning/experiment_1/zero_filtered/089.png,visual_reasoning/experiment_1/zero_filtered/238.png,visual_reasoning/experiment_1/zero_filtered/012.png,visual_reasoning/experiment_1/zero_filtered/039.png,visual_reasoning/experiment_1/zero_filtered/210.png,visual_reasoning/experiment_1/last_filtered/089.png,visual_reasoning/experiment_1/last_filtered/238.png,visual_reasoning/experiment_1/last_filtered/012.png,visual_reasoning/experiment_1/last_filtered/039.png,visual_reasoning/experiment_1/last_filtered/210.png
17,035,237,050,074,081,Dove cream is a flower.,My future is a cloudy sky.,The SUV's trunk is a dimensional fold that deletes physical length.,Milo allows you to wake up as a champion.,A blocked nose is a brick wall.,visual_reasoning/experiment_1/zero_filtered/035.png,visual_reasoning/experiment_1/zero_filtered/237.png,visual_reasoning/experiment_1/zero_filtered/050.png,visual_reasoning/experiment_1/zero_filtered/074.png,visual_reasoning/experiment_1/zero_filtered/081.png,visual_reasoning/experiment_1/last_filtered/035.png,visual_reasoning/experiment_1/last_filtered/237.png,visual_reasoning/experiment_1/last_filtered/050.png,visual_reasoning/experiment_1/last_filtered/074.png,visual_reasoning/experiment_1/last_filtered/081.png
18,112,033,119,231,239,Faber-Castell pencils can be as brown as a dachshund.,Yunky donut arrests your hunger.,Prescription drug abuse is a daily schedule for mortality.,The stormy ocean was a raging bull.,Her mind was a lighthouse beacon to him.,visual_reasoning/experiment_1/zero_filtered/112.png,visual_reasoning/experiment_1/zero_filtered/033.png,visual_reasoning/experiment_1/zero_filtered/119.png,visual_reasoning/experiment_1/zero_filtered/231.png,visual_reasoning/experiment_1/zero_filtered/239.png,visual_reasoning/experiment_1/last_filtered/112.png,visual_reasoning/experiment_1/last_filtered/033.png,visual_reasoning/experiment_1/last_filtered/119.png,visual_reasoning/experiment_1/last_filtered/231.png,visual_reasoning/experiment_1/last_filtered/239.png
19,125,053,203,225,171,The canvas sails of a galleon ship are a swarm of vibrant butterflies.,A glass of beer is a good idea waiting to happen.,The earth is a mother.,India's culture is a salad bowl.,Faith is a dangerous road.,visual_reasoning/experiment_1/zero_filtered/125.png,visual_reasoning/experiment_1/zero_filtered/053.png,visual_reasoning/experiment_1/zero_filtered/203.png,visual_reasoning/experiment_1/zero_filtered/225.png,visual_reasoning/experiment_1/zero_filtered/171.png,visual_reasoning/experiment_1/last_filtered/125.png,visual_reasoning/experiment_1/last_filtered/053.png,visual_reasoning/experiment_1/last_filtered/203.png,visual_reasoning/experiment_1/last_filtered/225.png,visual_reasoning/experiment_1/last_filtered/171.png
20,214,060,161,045,009,Time is a thief,Lego bricks can be a jetliner flying through the sky.,An unexpected loss is a blow to the face.,A sweet tooth is a predator chasing down your smile.,The Nissan Juke is the Batmobil.,visual_reasoning/experiment_1/zero_filtered/214.png,visual_reasoning/experiment_1/zero_filtered/060.png,visual_reasoning/experiment_1/zero_filtered/161.png,visual_reasoning/experiment_1/zero_filtered/045.png,visual_reasoning/experiment_1/zero_filtered/009.png,visual_reasoning/experiment_1/last_filtered/214.png,visual_reasoning/experiment_1/last_filtered/060.png,visual_reasoning/experiment_1/last_filtered/161.png,visual_reasoning/experiment_1/last_filtered/045.png,visual_reasoning/experiment_1/last_filtered/009.png
21,173,144,017,086,109,Friendship is a sheltering tree.,Her pen was a knife,Risking change is like jumping into shark-ridden waters off a sinking ship.,Pepsi injects life right into your veins.,An unauthorized car service is a predatory dinosaur waiting to strike.,visual_reasoning/experiment_1/zero_filtered/173.png,visual_reasoning/experiment_1/zero_filtered/144.png,visual_reasoning/experiment_1/zero_filtered/017.png,visual_reasoning/experiment_1/zero_filtered/086.png,visual_reasoning/experiment_1/zero_filtered/109.png,visual_reasoning/experiment_1/last_filtered/173.png,visual_reasoning/experiment_1/last_filtered/144.png,visual_reasoning/experiment_1/last_filtered/017.png,visual_reasoning/experiment_1/last_filtered/086.png,visual_reasoning/experiment_1/last_filtered/109.png
22,059,240,010,239,044,Spicy ketchup is liquid fuel for a flame.,He had a full bag of memories to unload.,The music will punch you through the headphones.,Her mind was a lighthouse beacon to him.,Coca Cola is fuel for your thoughts.,visual_reasoning/experiment_1/zero_filtered/059.png,visual_reasoning/experiment_1/zero_filtered/240.png,visual_reasoning/experiment_1/zero_filtered/010.png,visual_reasoning/experiment_1/zero_filtered/239.png,visual_reasoning/experiment_1/zero_filtered/044.png,visual_reasoning/experiment_1/last_filtered/059.png,visual_reasoning/experiment_1/last_filtered/240.png,visual_reasoning/experiment_1/last_filtered/010.png,visual_reasoning/experiment_1/last_filtered/239.png,visual_reasoning/experiment_1/last_filtered/044.png
23,088,079,246,047,219,Words can be deadly.,Nivea can smooth even a prickly cactus.,He liked the gym as much as a case of the measles.,Faber-Castell pencils are the true colors of nature.,Your mind is a powerful tool,visual_reasoning/experiment_1/zero_filtered/088.png,visual_reasoning/experiment_1/zero_filtered/079.png,visual_reasoning/experiment_1/zero_filtered/246.png,visual_reasoning/experiment_1/zero_filtered/047.png,visual_reasoning/experiment_1/zero_filtered/219.png,visual_reasoning/experiment_1/last_filtered/088.png,visual_reasoning/experiment_1/last_filtered/079.png,visual_reasoning/experiment_1/last_filtered/246.png,visual_reasoning/experiment_1/last_filtered/047.png,visual_reasoning/experiment_1/last_filtered/219.png
24,094,177,029,117,046,An open book is an umbrella shielding a child from a storm of smartphones.,Her hair is like the curling mist,"If not cooled correctly, vegetables are dead corpses.",A brain is not as tough to crack as a walnut,Clear vision is the lens that turns art into reality.,visual_reasoning/experiment_1/zero_filtered/094.png,visual_reasoning/experiment_1/zero_filtered/177.png,visual_reasoning/experiment_1/zero_filtered/029.png,visual_reasoning/experiment_1/zero_filtered/117.png,visual_reasoning/experiment_1/zero_filtered/046.png,visual_reasoning/experiment_1/last_filtered/094.png,visual_reasoning/experiment_1/last_filtered/177.png,visual_reasoning/experiment_1/last_filtered/029.png,visual_reasoning/experiment_1/last_filtered/117.png,visual_reasoning/experiment_1/last_filtered/046.png
25,120,162,153,249,170,Human hunters are the ultimate game in nature's flipped hierarchy.,Anger is a demon that preys on the soul.,My love is a summer day.,He wanted to set sail on the ocean of love but instead wasted away in the desert.,Failure is a treacherous pit.,visual_reasoning/experiment_1/zero_filtered/120.png,visual_reasoning/experiment_1/zero_filtered/162.png,visual_reasoning/experiment_1/zero_filtered/153.png,visual_reasoning/experiment_1/zero_filtered/249.png,visual_reasoning/experiment_1/zero_filtered/170.png,visual_reasoning/experiment_1/last_filtered/120.png,visual_reasoning/experiment_1/last_filtered/162.png,visual_reasoning/experiment_1/last_filtered/153.png,visual_reasoning/experiment_1/last_filtered/249.png,visual_reasoning/experiment_1/last_filtered/170.png
26,203,056,119,237,178,The earth is a mother.,An iron can smooth the dunes in the desert.,Prescription drug abuse is a daily schedule for mortality.,My future is a cloudy sky.,Her love is a hurricane.,visual_reasoning/experiment_1/zero_filtered/203.png,visual_reasoning/experiment_1/zero_filtered/056.png,visual_reasoning/experiment_1/zero_filtered/119.png,visual_reasoning/experiment_1/zero_filtered/237.png,visual_reasoning/experiment_1/zero_filtered/178.png,visual_reasoning/experiment_1/last_filtered/203.png,visual_reasoning/experiment_1/last_filtered/056.png,visual_reasoning/experiment_1/last_filtered/119.png,visual_reasoning/experiment_1/last_filtered/237.png,visual_reasoning/experiment_1/last_filtered/178.png
27,033,064,130,202,081,Yunky donut arrests your hunger.,The lollipop is carved straight out of an apple.,Global warming is a ticking bomb,The earth is a succulent Sunday roast.,A blocked nose is a brick wall.,visual_reasoning/experiment_1/zero_filtered/033.png,visual_reasoning/experiment_1/zero_filtered/064.png,visual_reasoning/experiment_1/zero_filtered/130.png,visual_reasoning/experiment_1/zero_filtered/202.png,visual_reasoning/experiment_1/zero_filtered/081.png,visual_reasoning/experiment_1/last_filtered/033.png,visual_reasoning/experiment_1/last_filtered/064.png,visual_reasoning/experiment_1/last_filtered/130.png,visual_reasoning/experiment_1/last_filtered/202.png,visual_reasoning/experiment_1/last_filtered/081.png
28,146,110,087,070,111,It is sad to observe the fruits of ignorance,Driving a Honda is sitting in a train on rails.,Mugler perfume is a flower.,Fries are as addictive as cigarettes.,Ocean pollution is heading straight to the dinner table.,visual_reasoning/experiment_1/zero_filtered/146.png,visual_reasoning/experiment_1/zero_filtered/110.png,visual_reasoning/experiment_1/zero_filtered/087.png,visual_reasoning/experiment_1/zero_filtered/070.png,visual_reasoning/experiment_1/zero_filtered/111.png,visual_reasoning/experiment_1/last_filtered/146.png,visual_reasoning/experiment_1/last_filtered/110.png,visual_reasoning/experiment_1/last_filtered/087.png,visual_reasoning/experiment_1/last_filtered/070.png,visual_reasoning/experiment_1/last_filtered/111.png
29,013,245,206,079,201,Running is a calory crusher.,He is the sun of my sky.,The ocean is a turbid grave.,Nivea can smooth even a prickly cactus.,The blazing sun is a ballroom dancer.,visual_reasoning/experiment_1/zero_filtered/013.png,visual_reasoning/experiment_1/zero_filtered/245.png,visual_reasoning/experiment_1/zero_filtered/206.png,visual_reasoning/experiment_1/zero_filtered/079.png,visual_reasoning/experiment_1/zero_filtered/201.png,visual_reasoning/experiment_1/last_filtered/013.png,visual_reasoning/experiment_1/last_filtered/245.png,visual_reasoning/experiment_1/last_filtered/206.png,visual_reasoning/experiment_1/last_filtered/079.png,visual_reasoning/experiment_1/last_filtered/201.png
30,087,242,008,039,234,Mugler perfume is a flower.,He is drowning in a sea of work.,Be a tourist in Italy by eating Barilla pasta.,Digital entertainment is a pallbearer for reading.,I really hope society wakes up soon.,visual_reasoning/experiment_1/zero_filtered/087.png,visual_reasoning/experiment_1/zero_filtered/242.png,visual_reasoning/experiment_1/zero_filtered/008.png,visual_reasoning/experiment_1/zero_filtered/039.png,visual_reasoning/experiment_1/zero_filtered/234.png,visual_reasoning/experiment_1/last_filtered/087.png,visual_reasoning/experiment_1/last_filtered/242.png,visual_reasoning/experiment_1/last_filtered/008.png,visual_reasoning/experiment_1/last_filtered/039.png,visual_reasoning/experiment_1/last_filtered/234.png
31,250,153,090,078,162,Her forehead was like an old map.,My love is a summer day.,Pizza delivery is a paper airplane flying through the city.,Evian is a mountain in a bottle.,Anger is a demon that preys on the soul.,visual_reasoning/experiment_1/zero_filtered/250.png,visual_reasoning/experiment_1/zero_filtered/153.png,visual_reasoning/experiment_1/zero_filtered/090.png,visual_reasoning/experiment_1/zero_filtered/078.png,visual_reasoning/experiment_1/zero_filtered/162.png,visual_reasoning/experiment_1/last_filtered/250.png,visual_reasoning/experiment_1/last_filtered/153.png,visual_reasoning/experiment_1/last_filtered/090.png,visual_reasoning/experiment_1/last_filtered/078.png,visual_reasoning/experiment_1/last_filtered/162.png
32,225,235,244,174,071,India's culture is a salad bowl.,My computer slipped into a coma.,He is the shining star of our school.,Hate is a blizzard,Coffee beans are heavy eyelids opening wide.,visual_reasoning/experiment_1/zero_filtered/225.png,visual_reasoning/experiment_1/zero_filtered/235.png,visual_reasoning/experiment_1/zero_filtered/244.png,visual_reasoning/experiment_1/zero_filtered/174.png,visual_reasoning/experiment_1/zero_filtered/071.png,visual_reasoning/experiment_1/last_filtered/225.png,visual_reasoning/experiment_1/last_filtered/235.png,visual_reasoning/experiment_1/last_filtered/244.png,visual_reasoning/experiment_1/last_filtered/174.png,visual_reasoning/experiment_1/last_filtered/071.png
33,109,057,035,091,228,An unauthorized car service is a predatory dinosaur waiting to strike.,A two-wheel drive vehicle is a horse missing its hind legs.,Dove cream is a flower.,The penguin's last continent is a shopping bag.,The classroom was a zoo.,visual_reasoning/experiment_1/zero_filtered/109.png,visual_reasoning/experiment_1/zero_filtered/057.png,visual_reasoning/experiment_1/zero_filtered/035.png,visual_reasoning/experiment_1/zero_filtered/091.png,visual_reasoning/experiment_1/zero_filtered/228.png,visual_reasoning/experiment_1/last_filtered/109.png,visual_reasoning/experiment_1/last_filtered/057.png,visual_reasoning/experiment_1/last_filtered/035.png,visual_reasoning/experiment_1/last_filtered/091.png,visual_reasoning/experiment_1/last_filtered/228.png
34,227,076,177,195,011,Life is a maze.,Vodka freshly tapped from nature.,Her hair is like the curling mist,My mouth is a music box.,Resisting vaccines is like refusing to cross a professionally engineered bridge.,visual_reasoning/experiment_1/zero_filtered/227.png,visual_reasoning/experiment_1/zero_filtered/076.png,visual_reasoning/experiment_1/zero_filtered/177.png,visual_reasoning/experiment_1/zero_filtered/195.png,visual_reasoning/experiment_1/zero_filtered/011.png,visual_reasoning/experiment_1/last_filtered/227.png,visual_reasoning/experiment_1/last_filtered/076.png,visual_reasoning/experiment_1/last_filtered/177.png,visual_reasoning/experiment_1/last_filtered/195.png,visual_reasoning/experiment_1/last_filtered/011.png
35,131,116,129,186,058,A party in your mouth,Industrial smokestacks are the surface proteins of a deadly virus.,Drink away your riches,Love is a dead end.,This ketchup is a spice bomb.,visual_reasoning/experiment_1/zero_filtered/131.png,visual_reasoning/experiment_1/zero_filtered/116.png,visual_reasoning/experiment_1/zero_filtered/129.png,visual_reasoning/experiment_1/zero_filtered/186.png,visual_reasoning/experiment_1/zero_filtered/058.png,visual_reasoning/experiment_1/last_filtered/131.png,visual_reasoning/experiment_1/last_filtered/116.png,visual_reasoning/experiment_1/last_filtered/129.png,visual_reasoning/experiment_1/last_filtered/186.png,visual_reasoning/experiment_1/last_filtered/058.png
36,113,212,200,169,092,Listen to your uterus to recognise the signs of cancer.,Thought is a vulture,Our love is a board game.,Every sin is a wage you must pay.,Coca Cola is a power chord.,visual_reasoning/experiment_1/zero_filtered/113.png,visual_reasoning/experiment_1/zero_filtered/212.png,visual_reasoning/experiment_1/zero_filtered/200.png,visual_reasoning/experiment_1/zero_filtered/169.png,visual_reasoning/experiment_1/zero_filtered/092.png,visual_reasoning/experiment_1/last_filtered/113.png,visual_reasoning/experiment_1/last_filtered/212.png,visual_reasoning/experiment_1/last_filtered/200.png,visual_reasoning/experiment_1/last_filtered/169.png,visual_reasoning/experiment_1/last_filtered/092.png
37,155,085,248,060,097,A heartbear is like a never-ending stampede of buffalo.,Parship is a zipper bringing couples together.,"He should be in his car now, driving away, and yet here he was, like a fly caught in a spiderweb.",Lego bricks can be a jetliner flying through the sky.,A strip of adhesive tape is a flypaper trap catching airplanes in mid-air.,visual_reasoning/experiment_1/zero_filtered/155.png,visual_reasoning/experiment_1/zero_filtered/085.png,visual_reasoning/experiment_1/zero_filtered/248.png,visual_reasoning/experiment_1/zero_filtered/060.png,visual_reasoning/experiment_1/zero_filtered/097.png,visual_reasoning/experiment_1/last_filtered/155.png,visual_reasoning/experiment_1/last_filtered/085.png,visual_reasoning/experiment_1/last_filtered/248.png,visual_reasoning/experiment_1/last_filtered/060.png,visual_reasoning/experiment_1/last_filtered/097.png
38,115,056,114,142,250,Vaseline can be used for art restoration.,An iron can smooth the dunes in the desert.,Vaseline can smooth cracks in dried earth.,Adam did not understand the root of the crisis,Her forehead was like an old map.,visual_reasoning/experiment_1/zero_filtered/115.png,visual_reasoning/experiment_1/zero_filtered/056.png,visual_reasoning/experiment_1/zero_filtered/114.png,visual_reasoning/experiment_1/zero_filtered/142.png,visual_reasoning/experiment_1/zero_filtered/250.png,visual_reasoning/experiment_1/last_filtered/115.png,visual_reasoning/experiment_1/last_filtered/056.png,visual_reasoning/experiment_1/last_filtered/114.png,visual_reasoning/experiment_1/last_filtered/142.png,visual_reasoning/experiment_1/last_filtered/250.png
39,180,230,094,122,120,Her smile is a warm fire that melts my heart.,The professor was a guiding light for him.,An open book is an umbrella shielding a child from a storm of smartphones.,Failing to social distance is an explosion waiting to happen.,Human hunters are the ultimate game in nature's flipped hierarchy.,visual_reasoning/experiment_1/zero_filtered/180.png,visual_reasoning/experiment_1/zero_filtered/230.png,visual_reasoning/experiment_1/zero_filtered/094.png,visual_reasoning/experiment_1/zero_filtered/122.png,visual_reasoning/experiment_1/zero_filtered/120.png,visual_reasoning/experiment_1/last_filtered/180.png,visual_reasoning/experiment_1/last_filtered/230.png,visual_reasoning/experiment_1/last_filtered/094.png,visual_reasoning/experiment_1/last_filtered/122.png,visual_reasoning/experiment_1/last_filtered/120.png
40,009,058,211,121,070,The Nissan Juke is the Batmobil.,This ketchup is a spice bomb.,The world is a stage,Select the colour palette of your morning toast.,Fries are as addictive as cigarettes.,visual_reasoning/experiment_1/zero_filtered/009.png,visual_reasoning/experiment_1/zero_filtered/058.png,visual_reasoning/experiment_1/zero_filtered/211.png,visual_reasoning/experiment_1/zero_filtered/121.png,visual_reasoning/experiment_1/zero_filtered/070.png,visual_reasoning/experiment_1/last_filtered/009.png,visual_reasoning/experiment_1/last_filtered/058.png,visual_reasoning/experiment_1/last_filtered/211.png,visual_reasoning/experiment_1/last_filtered/121.png,visual_reasoning/experiment_1/last_filtered/070.png
