id,round,pullback_score,extracted_target,extracted_source,gold_domains,concepts_matched,n_gold_concepts,coverage,stop_reason,image_path
008,1,0.0,italian cuisine,none,pasta | authentic italian,1,2,0.0,in_progress,visual_reasoning/experiment_1/images/k1/008.png
008,2,1.086,barilla pasta,italian culinary heritage,pasta | authentic italian,2,2,0.143,in_progress,visual_reasoning/experiment_1/images/k2/008.png
008,3,4.065,italian cuisine,roman colosseum,pasta | authentic italian,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k3/008.png
008,4,3.282,italian cuisine,roman colosseum,pasta | authentic italian,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k4/008.png
008,5,3.525,italian cuisine,colosseum,pasta | authentic italian,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k5/008.png
008,6,0.977,italian culture,pasta,pasta | authentic italian,2,2,0.143,in_progress,visual_reasoning/experiment_1/images/k6/008.png
008,7,2.504,italian cultural identity,pasta,pasta | authentic italian,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k7/008.png
008,8,1.062,italian culture,pasta,pasta | authentic italian,2,2,0.167,in_progress,visual_reasoning/experiment_1/images/k8/008.png
008,9,1.554,italian pasta,famous landmark,pasta | authentic italian,1,2,0.333,in_progress,visual_reasoning/experiment_1/images/k9/008.png
008,10,1.704,italian culinary tradition,roman heritage,pasta | authentic italian,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k10/008.png
009,1,1.0,nissan suv,batman,nissan juke | batmobil,1,2,0.143,generation_failed,visual_reasoning/experiment_1/images/k1/009.png
009,2,2.969,nissan juke,batmobile,nissan juke | batmobil,2,2,0.5,generation_failed,visual_reasoning/experiment_1/images/k2/009.png
009,3,2.204,nissan juke,batmobile,nissan juke | batmobil,2,2,0.429,generation_failed,visual_reasoning/experiment_1/images/k3/009.png
010,1,1.65,music,fire and ice,music | punch,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k1/010.png
010,2,2.391,emotional power of music,explosion,music | punch,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k2/010.png
010,3,2.221,music impact,punch,music | punch,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k3/010.png
010,4,4.478,emotional power of music,physical punch,music | punch,2,2,0.571,in_progress,visual_reasoning/experiment_1/images/k4/010.png
010,5,3.345,music's emotional impact,punch,music | punch,2,2,0.571,in_progress,visual_reasoning/experiment_1/images/k5/010.png
010,6,1.733,music's emotional impact,explosion,music | punch,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k6/010.png
010,7,3.287,emotional impact of music,punch,music | punch,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k7/010.png
010,8,2.655,music,physical punch,music | punch,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k8/010.png
010,9,2.354,impact of music,punch,music | punch,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k9/010.png
010,10,3.372,emotional impact of music,physical punch,music | punch,2,2,0.5,in_progress,visual_reasoning/experiment_1/images/k10/010.png
011,1,4.372,life transition,bridge crossing,vaccine resistance | bridge crossing,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k1/011.png
011,2,1.732,addiction,crossroads,vaccine resistance | bridge crossing,0,2,0.286,in_progress,visual_reasoning/experiment_1/images/k2/011.png
011,3,3.653,vaccine hesitancy,bridge to safety,vaccine resistance | bridge crossing,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k3/011.png
011,4,2.654,addiction,chasm,vaccine resistance | bridge crossing,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k4/011.png
011,5,2.155,vaccination,bridge to prosperity,vaccine resistance | bridge crossing,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k5/011.png
011,6,4.195,drug addiction,demonic haunting,vaccine resistance | bridge crossing,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k6/011.png
011,7,4.518,vaccination,guardian fighting monsters,vaccine resistance | bridge crossing,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k7/011.png
011,8,1.394,drug addiction,bridge to recovery,vaccine resistance | bridge crossing,0,2,0.143,in_progress,visual_reasoning/experiment_1/images/k8/011.png
011,9,2.32,drug addiction,predatory monster,vaccine resistance | bridge crossing,0,2,0.286,in_progress,visual_reasoning/experiment_1/images/k9/011.png
011,10,2.627,vaccine hesitancy,storm versus safe bridge crossing,vaccine resistance | bridge crossing,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k10/011.png
012,1,0.0,cadbury milk chocolate,none,cadburry chocolate | fresh milk,1,2,0.0,in_progress,visual_reasoning/experiment_1/images/k1/012.png
012,2,2.121,cadbury dairy milk,milk,cadburry chocolate | fresh milk,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k2/012.png
012,3,1.635,cadbury chocolate,milk,cadburry chocolate | fresh milk,2,2,0.333,in_progress,visual_reasoning/experiment_1/images/k3/012.png
012,4,0.98,milk chocolate,milk,cadburry chocolate | fresh milk,2,2,0.167,in_progress,visual_reasoning/experiment_1/images/k4/012.png
012,5,2.924,milk chocolate,milk,cadburry chocolate | fresh milk,2,2,0.5,in_progress,visual_reasoning/experiment_1/images/k5/012.png
012,6,0.0,milk chocolate,none,cadburry chocolate | fresh milk,1,2,0.0,in_progress,visual_reasoning/experiment_1/images/k6/012.png
012,7,2.507,cadbury chocolate,milk,cadburry chocolate | fresh milk,2,2,0.333,in_progress,visual_reasoning/experiment_1/images/k7/012.png
012,8,0.0,cadbury chocolate,none,cadburry chocolate | fresh milk,1,2,0.0,in_progress,visual_reasoning/experiment_1/images/k8/012.png
012,9,0.966,cadbury dairy milk,milk,cadburry chocolate | fresh milk,2,2,0.167,in_progress,visual_reasoning/experiment_1/images/k9/012.png
012,10,3.329,cadbury chocolate,liquid milk,cadburry chocolate | fresh milk,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k10/012.png
013,1,1.076,calorie burning,fire,running | calory crusher,0,2,0.143,in_progress,visual_reasoning/experiment_1/images/k1/013.png
013,2,4.655,calorie burning,physical destruction,running | calory crusher,0,2,0.571,in_progress,visual_reasoning/experiment_1/images/k2/013.png
013,3,2.132,calorie burning,breaking through barriers,running | calory crusher,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k3/013.png
013,4,1.928,calorie burning,demolishing walls,running | calory crusher,0,2,0.286,in_progress,visual_reasoning/experiment_1/images/k4/013.png
013,5,2.594,calorie burning,demolishing obstacles,running | calory crusher,0,2,0.5,in_progress,visual_reasoning/experiment_1/images/k5/013.png
013,6,4.136,calorie burning,breaking concrete barriers,running | calory crusher,0,2,0.571,in_progress,visual_reasoning/experiment_1/images/k6/013.png
013,7,4.464,fitness goal achievement,obstacle race,running | calory crusher,0,2,0.714,in_progress,visual_reasoning/experiment_1/images/k7/013.png
013,8,2.853,fitness goal progress,race track,running | calory crusher,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k8/013.png
013,9,4.616,calorie burning,crushing obstacles,running | calory crusher,0,2,0.571,in_progress,visual_reasoning/experiment_1/images/k9/013.png
013,10,4.068,calorie burning,crushing physical obstacles,running | calory crusher,0,2,0.571,in_progress,visual_reasoning/experiment_1/images/k10/013.png
014,1,0.0,harvest,none,brämhults | carrot,0,2,0.0,flattened,visual_reasoning/experiment_1/images/k1/014.png
014,2,0.0,carrot juice,none,brämhults | carrot,1,2,0.0,flattened,visual_reasoning/experiment_1/images/k2/014.png
015,1,3.101,food craving,monster,genetically modified food | predator,0,2,0.375,in_progress,visual_reasoning/experiment_1/images/k1/015.png
015,2,1.003,genetically modified food,venomous snake,genetically modified food | predator,1,2,0.167,in_progress,visual_reasoning/experiment_1/images/k2/015.png
015,3,2.002,nutrition,dna,genetically modified food | predator,0,2,0.286,in_progress,visual_reasoning/experiment_1/images/k3/015.png
015,4,1.098,gmo food,monster,genetically modified food | predator,1,2,0.1,in_progress,visual_reasoning/experiment_1/images/k4/015.png
015,5,1.586,genetically modified food,wild predator,genetically modified food | predator,2,2,0.25,in_progress,visual_reasoning/experiment_1/images/k5/015.png
015,6,0.946,nutritional power,predator,genetically modified food | predator,1,2,0.143,in_progress,visual_reasoning/experiment_1/images/k6/015.png
015,7,3.738,genetically modified food,wild predator,genetically modified food | predator,2,2,0.571,in_progress,visual_reasoning/experiment_1/images/k7/015.png
015,8,4.066,genetic modification,wild predator,genetically modified food | predator,2,2,0.714,in_progress,visual_reasoning/experiment_1/images/k8/015.png
015,9,2.155,genetically modified food,wild predators,genetically modified food | predator,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k9/015.png
015,10,1.863,genetically modified food,predatory animals,genetically modified food | predator,1,2,0.25,in_progress,visual_reasoning/experiment_1/images/k10/015.png
016,1,2.799,passage of time,road journey,time | highway,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k1/016.png
016,2,4.963,human life,road journey,time | highway,1,2,0.857,in_progress,visual_reasoning/experiment_1/images/k2/016.png
016,3,2.779,passage of time,road,time | highway,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k3/016.png
016,4,0.93,human aging,road journey,time | highway,1,2,0.167,in_progress,visual_reasoning/experiment_1/images/k4/016.png
016,5,1.092,human aging,road journey,time | highway,1,2,0.143,in_progress,visual_reasoning/experiment_1/images/k5/016.png
016,6,1.623,aging,road journey,time | highway,1,2,0.333,in_progress,visual_reasoning/experiment_1/images/k6/016.png
016,7,1.905,human aging,journey through time,time | highway,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k7/016.png
016,8,3.812,human aging,clock,time | highway,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k8/016.png
016,9,0.988,human life cycle,road journey,time | highway,1,2,0.167,in_progress,visual_reasoning/experiment_1/images/k9/016.png
016,10,0.91,human aging,clock,time | highway,1,2,0.143,in_progress,visual_reasoning/experiment_1/images/k10/016.png
017,1,2.05,personal crisis,sharks circling sinking ship,taking risks | shark-ridden waters,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k1/017.png
017,2,3.469,business crisis,shipwreck in shark-infested waters,taking risks | shark-ridden waters,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k2/017.png
017,3,2.198,business crisis,sinking ship,taking risks | shark-ridden waters,0,2,0.286,in_progress,visual_reasoning/experiment_1/images/k3/017.png
017,4,2.136,business crisis,shark-infested waters,taking risks | shark-ridden waters,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k4/017.png
017,5,2.724,financial ruin,catastrophic disaster,taking risks | shark-ridden waters,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k5/017.png
017,6,1.806,financial debt,shark-infested waters,taking risks | shark-ridden waters,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k6/017.png
017,7,1.705,business risk-taking,shark-infested stormy sea,taking risks | shark-ridden waters,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k7/017.png
017,8,3.563,business failure,sinking ship,taking risks | shark-ridden waters,0,2,0.571,in_progress,visual_reasoning/experiment_1/images/k8/017.png
017,9,2.56,financial debt,shark attack,taking risks | shark-ridden waters,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k9/017.png
017,10,4.788,inescapable crisis,shipwreck with sharks,taking risks | shark-ridden waters,1,2,0.714,in_progress,visual_reasoning/experiment_1/images/k10/017.png
018,1,2.788,creativity,christmas wreath,pencil | christmas,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k1/018.png
018,2,2.056,christmas wreath,colored pencils,pencil | christmas,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k2/018.png
018,3,1.913,christmas wreath,colored pencils,pencil | christmas,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k3/018.png
018,4,0.0,christmas spirit,colored pencils,pencil | christmas,2,2,0.0,in_progress,visual_reasoning/experiment_1/images/k4/018.png
018,5,2.721,christmas wreath,colored pencils,pencil | christmas,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k5/018.png
018,6,1.836,education,christmas wreath,pencil | christmas,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k6/018.png
018,7,2.014,education,christmas wreath,pencil | christmas,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k7/018.png
018,8,1.456,childhood creativity,christmas wreath,pencil | christmas,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k8/018.png
018,9,2.009,childhood creativity,christmas wreath,pencil | christmas,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k9/018.png
018,10,3.24,holiday candles,colored pencils,pencil | christmas,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k10/018.png
019,1,3.325,smoking addiction,prison,smoking addiction | maze,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k1/019.png
019,2,1.841,smoking addiction,prison,smoking addiction | maze,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k2/019.png
019,3,3.017,nicotine addiction,maze,smoking addiction | maze,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k3/019.png
019,4,1.573,nicotine addiction,labyrinth,smoking addiction | maze,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k4/019.png
019,5,1.663,smoking addiction,destructive labyrinth,smoking addiction | maze,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k5/019.png
019,6,1.992,smoking addiction,labyrinth,smoking addiction | maze,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k6/019.png
019,7,3.306,smoking addiction,imprisonment,smoking addiction | maze,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k7/019.png
019,8,4.466,smoking addiction,imprisonment,smoking addiction | maze,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k8/019.png
019,9,1.744,addiction,imprisonment,smoking addiction | maze,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k9/019.png
019,10,1.718,addiction,chains and labyrinth,smoking addiction | maze,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k10/019.png
020,1,3.266,smoking habit,burning money,cigarette | money,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k1/020.png
020,2,3.703,smoking addiction,financial enslavement,cigarette | money,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k2/020.png
020,3,2.298,smoking habit,burning money,cigarette | money,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k3/020.png
020,4,1.583,financial waste,smoking,cigarette | money,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k4/020.png
020,5,2.236,smoking addiction,burning money,cigarette | money,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k5/020.png
020,6,3.506,financial waste,smoking,cigarette | money,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k6/020.png
020,7,4.129,financial loss,fire,cigarette | money,0,2,0.571,in_progress,visual_reasoning/experiment_1/images/k7/020.png
020,8,3.112,financial waste,burning cigarette,cigarette | money,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k8/020.png
020,9,3.574,financial cost of smoking,burning money,cigarette | money,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k9/020.png
020,10,1.724,smoking addiction,burning money,cigarette | money,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k10/020.png
021,1,5.508,leadership under pressure,lion taming,driving safety | lion tamer,1,2,0.857,in_progress,visual_reasoning/experiment_1/images/k1/021.png
021,2,3.762,car control,lion taming,driving safety | lion tamer,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k2/021.png
021,3,4.137,driving in hazardous conditions,lion taming,driving safety | lion tamer,2,2,0.571,in_progress,visual_reasoning/experiment_1/images/k3/021.png
021,4,3.203,dangerous driving conditions,lion taming,driving safety | lion tamer,2,2,0.571,in_progress,visual_reasoning/experiment_1/images/k4/021.png
021,5,3.771,dangerous driving,lion taming,driving safety | lion tamer,2,2,0.571,in_progress,visual_reasoning/experiment_1/images/k5/021.png
021,6,4.597,loss of control,circus with uncontrolled lion,driving safety | lion tamer,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k6/021.png
021,7,1.533,car warning system,lion taming,driving safety | lion tamer,1,2,0.222,in_progress,visual_reasoning/experiment_1/images/k7/021.png
021,8,1.048,crisis management,vehicle control system,driving safety | lion tamer,0,2,0.143,in_progress,visual_reasoning/experiment_1/images/k8/021.png
021,9,2.775,driving,lion taming,driving safety | lion tamer,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k9/021.png
021,10,4.013,crisis management,road navigation,driving safety | lion tamer,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k10/021.png
025,1,2.679,work stress,time machinery,deadline | trap,0,2,0.429,flattened,visual_reasoning/experiment_1/images/k1/025.png
025,2,1.679,deadline pressure,bear trap,deadline | trap,2,2,0.286,flattened,visual_reasoning/experiment_1/images/k2/025.png
025,3,2.437,deadline pressure,bear trap,deadline | trap,2,2,0.429,flattened,visual_reasoning/experiment_1/images/k3/025.png
025,4,1.553,financial debt,bear trap,deadline | trap,1,2,0.286,flattened,visual_reasoning/experiment_1/images/k4/025.png
025,5,1.524,deadline pressure,animal trap,deadline | trap,2,2,0.286,flattened,visual_reasoning/experiment_1/images/k5/025.png
026,1,1.091,comfort,fire,coffee | lightswitch,0,2,0.143,flattened,visual_reasoning/experiment_1/images/k1/026.png
026,2,2.008,energy boost,light switch,coffee | lightswitch,1,2,0.429,flattened,visual_reasoning/experiment_1/images/k2/026.png
026,3,2.044,coffee's energizing effect,power switch,coffee | lightswitch,1,2,0.286,flattened,visual_reasoning/experiment_1/images/k3/026.png
027,1,2.379,smile,spotlight,toothpaste | spotlight,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k1/027.png
027,2,1.571,teeth whitening,flashlight beam,toothpaste | spotlight,0,2,0.333,in_progress,visual_reasoning/experiment_1/images/k2/027.png
027,3,1.804,teeth whitening,light beam,toothpaste | spotlight,0,2,0.286,in_progress,visual_reasoning/experiment_1/images/k3/027.png
027,4,3.19,teeth whitening,magic,toothpaste | spotlight,0,2,0.429,in_progress,visual_reasoning/experiment_1/images/k4/027.png
027,5,1.52,teeth whitening,golden light beam,toothpaste | spotlight,0,2,0.286,in_progress,visual_reasoning/experiment_1/images/k5/027.png
027,6,1.305,teeth whitening,magic light beam,toothpaste | spotlight,0,2,0.143,in_progress,visual_reasoning/experiment_1/images/k6/027.png
027,7,1.073,tooth whitening,light beam,toothpaste | spotlight,1,2,0.143,in_progress,visual_reasoning/experiment_1/images/k7/027.png
027,8,3.492,tooth whitening,spotlight,toothpaste | spotlight,2,2,0.571,in_progress,visual_reasoning/experiment_1/images/k8/027.png
027,9,1.869,tooth whitening,spotlight transformation,toothpaste | spotlight,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k9/027.png
027,10,2.101,teeth whitening,theatrical spotlight,toothpaste | spotlight,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k10/027.png
028,1,3.2,navigating adversity,dodging traffic,jaywalking | death,0,2,0.429,flattened,visual_reasoning/experiment_1/images/k1/028.png
028,2,1.763,reckless behavior,walking into oncoming traffic,jaywalking | death,1,2,0.286,flattened,visual_reasoning/experiment_1/images/k2/028.png
028,3,2.267,obliviousness to danger,death,jaywalking | death,1,2,0.286,flattened,visual_reasoning/experiment_1/images/k3/028.png
028,4,2.418,jaywalking,death,jaywalking | death,2,2,0.286,flattened,visual_reasoning/experiment_1/images/k4/028.png
028,5,2.108,pedestrian danger,death,jaywalking | death,1,2,0.286,flattened,visual_reasoning/experiment_1/images/k5/028.png
028,6,2.093,reckless behavior,jaywalking in front of truck,jaywalking | death,1,2,0.429,flattened,visual_reasoning/experiment_1/images/k6/028.png
029,1,1.967,societal neglect,decaying food storage,storing vegetable | corpse,0,2,0.286,max_rounds,visual_reasoning/experiment_1/images/k1/029.png
029,2,3.053,food waste,rotting vegetables,storing vegetable | corpse,1,2,0.429,max_rounds,visual_reasoning/experiment_1/images/k2/029.png
029,3,2.176,food waste,morgue,storing vegetable | corpse,1,2,0.429,max_rounds,visual_reasoning/experiment_1/images/k3/029.png
029,4,1.69,food waste,morgue,storing vegetable | corpse,1,2,0.286,max_rounds,visual_reasoning/experiment_1/images/k4/029.png
029,5,3.425,food spoilage,death,storing vegetable | corpse,1,2,0.5,max_rounds,visual_reasoning/experiment_1/images/k5/029.png
029,6,4.705,mortality,food spoilage,storing vegetable | corpse,0,2,0.714,max_rounds,visual_reasoning/experiment_1/images/k6/029.png
029,7,6.5,human mortality,food expiration,storing vegetable | corpse,0,2,0.833,max_rounds,visual_reasoning/experiment_1/images/k7/029.png
029,8,6.017,food waste,death,storing vegetable | corpse,1,2,0.714,max_rounds,visual_reasoning/experiment_1/images/k8/029.png
029,9,5.318,food spoilage,morgue,storing vegetable | corpse,1,2,0.667,max_rounds,visual_reasoning/experiment_1/images/k9/029.png
029,10,3.965,food spoilage,death,storing vegetable | corpse,1,2,0.571,max_rounds,visual_reasoning/experiment_1/images/k10/029.png
030,1,1.686,pharmaceutical industry,industrial machine,pharmaceutical industry | money machine,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k1/030.png
030,2,2.609,pharmaceutical industry,slot machine,pharmaceutical industry | money machine,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k2/030.png
030,3,2.505,pharmaceutical industry profit,money-making machine,pharmaceutical industry | money machine,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k3/030.png
030,4,3.572,pharmaceutical price gouging,money-making machine,pharmaceutical industry | money machine,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k4/030.png
030,5,5.445,pharmaceutical price gouging,money extraction machine,pharmaceutical industry | money machine,1,2,0.714,in_progress,visual_reasoning/experiment_1/images/k5/030.png
030,6,1.737,pharmaceutical price gouging,money extraction machine,pharmaceutical industry | money machine,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k6/030.png
030,7,4.93,pharmaceutical pricing,gambling,pharmaceutical industry | money machine,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k7/030.png
030,8,1.592,pharmaceutical industry profiteering,profit machine,pharmaceutical industry | money machine,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k8/030.png
030,9,1.691,pharmaceutical drug pricing,industrial money extraction machine,pharmaceutical industry | money machine,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k9/030.png
030,10,1.051,pharmaceutical price gouging,industrial grinding machine,pharmaceutical industry | money machine,0,2,0.143,in_progress,visual_reasoning/experiment_1/images/k10/030.png
031,1,3.27,healthcare,vending machine,healthcare | coin machine,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k1/031.png
031,2,2.739,healthcare access,vending machine,healthcare | coin machine,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k2/031.png
031,3,0.0,medication access,none,healthcare | coin machine,0,2,0.0,in_progress,visual_reasoning/experiment_1/images/k3/031.png
031,4,3.156,healthcare,vending machine,healthcare | coin machine,2,2,0.571,in_progress,visual_reasoning/experiment_1/images/k4/031.png
031,5,2.368,healthcare access,vending machine,healthcare | coin machine,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k5/031.png
031,6,4.393,healthcare access,vending machine,healthcare | coin machine,2,2,0.714,in_progress,visual_reasoning/experiment_1/images/k6/031.png
031,7,2.639,healthcare access,locked vending machine,healthcare | coin machine,1,2,0.429,in_progress,visual_reasoning/experiment_1/images/k7/031.png
031,8,2.926,healthcare access,vending machine,healthcare | coin machine,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k8/031.png
031,9,2.139,healthcare access,vending machine,healthcare | coin machine,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k9/031.png
031,10,2.544,healthcare access,vending machine,healthcare | coin machine,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k10/031.png
032,1,1.694,loch ness monster,donut,donut | loch ness monster,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k1/032.png
032,2,2.891,loch ness monster,donut,donut | loch ness monster,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k2/032.png
032,3,1.637,indulgence,natural force,donut | loch ness monster,0,2,0.286,in_progress,visual_reasoning/experiment_1/images/k3/032.png
032,4,3.629,food craving,sea monster,donut | loch ness monster,1,2,0.571,in_progress,visual_reasoning/experiment_1/images/k4/032.png
032,5,1.727,junk food addiction,sea monster,donut | loch ness monster,1,2,0.286,in_progress,visual_reasoning/experiment_1/images/k5/032.png
032,6,1.794,krispy kreme donuts,loch ness monster,donut | loch ness monster,2,2,0.333,in_progress,visual_reasoning/experiment_1/images/k6/032.png
032,7,2.383,loch ness monster,donuts,donut | loch ness monster,2,2,0.429,in_progress,visual_reasoning/experiment_1/images/k7/032.png
032,8,2.78,loch ness monster,donuts,donut | loch ness monster,2,2,0.375,in_progress,visual_reasoning/experiment_1/images/k8/032.png
032,9,1.767,donut addiction,sea monster,donut | loch ness monster,2,2,0.286,in_progress,visual_reasoning/experiment_1/images/k9/032.png
032,10,0.902,loch ness monster,donuts,donut | loch ness monster,2,2,0.143,in_progress,visual_reasoning/experiment_1/images/k10/032.png
033,1,3.348,competition,donut,donut | arrest your hunger,1,2,0.571,flattened,visual_reasoning/experiment_1/images/k1/033.png
033,2,2.674,food temptation,magnetic attraction,donut | arrest your hunger,1,2,0.429,flattened,visual_reasoning/experiment_1/images/k2/033.png
033,3,5.508,food temptation,golden treasure,donut | arrest your hunger,1,2,0.714,flattened,visual_reasoning/experiment_1/images/k3/033.png
033,4,1.522,food temptation resistance,physical combat,donut | arrest your hunger,1,2,0.286,flattened,visual_reasoning/experiment_1/images/k4/033.png
033,5,2.272,food craving,gold,donut | arrest your hunger,1,2,0.286,flattened,visual_reasoning/experiment_1/images/k5/033.png
033,6,1.817,dietary temptation,glowing sacred donut,donut | arrest your hunger,2,2,0.286,flattened,visual_reasoning/experiment_1/images/k6/033.png
